case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,,Conclusion
,,"sebi-wp-1590-21 24-8-24 final (2).odt petitioner holds no demat account maintained with respondent no. 5, yet the petitioner has made monetary claims against respondent no. 5. Therefore, the petitioner's claim for compensation does not arise and be dismissed.","sebi-wp-1590-21 24-8-24 final (2).odt letter of NSDL by e-mail dated 8 June 2021 bringing to its attention the NSDL's notices issued earlier, which clearly stated that the demat accounts were 'suspended for debits'.
","35. With reference to the contentions raised by the Petitioner in respect of transfer of shares held in a demat account with AFSIL, a depository participant of NSDL, it is contended that since participantship of AFSIL was terminated w.e.f. 20 March 2021, all demat accounts of investors held with AFSIL were taken over into NSDL omnibus system. In accordance with the NSDL's bye-laws and Business Rules, the demat accounts of investors held with AFSIL (a terminated depository participant) were frozen for debit, and fresh credit by way of transfer of securities was disabled in these accounts. It is stated that in this regard, as a standard procedure, an intimation was sent by NSDL to all the investors holding demat account with AFSIL, including the Petitioner, setting out the procedure to be followed for transfer of securities and closure of demat accounts held with AFSIL. Accordingly, a letter dated 4 May 2021 was issued to the Petitioner from NSDL. Upon receiving a reply from the Petitioner, it was clarified to the Petitioner that since his demat account had been frozen as per the instructions received from NSE and BSE, it was advised to the petitioner to approach NSE and BSE for defreezing of his

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt demat account.",,"23. It is next stated that the power to regulate has been delegated to the recognised Stock Exchanges by the Parliament by virtue of Section 9 of the SCR Act to include power to levy fees, fines and penalties. It is stated that by virtue of the powers conferred under the SCR Act, the stock exchanges are first level regulators to regulate the companies listed on the exchange. However, it is denied that SEBI has delegated its own powers to regulate securities market to the stock exchanges.",,"34. It is next stated that NSDL also received an email communication dated 7 August 2018 from NSE forwarding a list of companies which had been compulsorily delisted w.e.f. 8 August 2018. NSE also provided details of promoters of such delisted companies and directed NSDL to freeze all demat accounts of such promoters in accordance with SEBI Circular dated 7 September 2016. It is hence stated that NSDL acted on the instructions of NSE and BSE and implemented a freeze on the demat accounts of promoters of companies, that have been compulsorily delisted in which Shrenuj was one such company and the Petitioner (having PAN AHXPM0093R), was disclosed as a promoter of the company. Accordingly, the demat account bearing DP ID IN301330 and Client ID 17431870 and DP ID IN300271 and Client ID 10100565 were 'Suspended for Debits', as the same were linked to the PAN of the
",,,sebi-wp-1590-21 24-8-24 final (2).odt the extent of liability which shall be calculated on a quarterly basis.
,,,"24. It is further stated that if petitioner is aggrieved by the actions taken by the Stock Exchanges then under Section 23 of SCR Act, the statutory remedy lies before the Tribunal. Further, if the petitioner is aggrieved by the orders dated 18 April 2018 (Ex-H of the petition) and 4 September 2018 (Ex-M of the petition) passed by the Tribunal, then the remedy would lie before the Supreme Court pursuant to Section 15Z of the SEBI Act.
","41. It is submitted that Section 15-I of the SEBI Act specifically confers power to adjudicate for the purpose of adjudging under Section 15A in the manner as prescribed by the said provision. The procedure contemplated is of an inquiry to be held in a prescribed manner and after giving the person concerned, a reasonable opportunity of being heard for imposing penalty.",,"compliance of LODR Regulations 2015, in the matter specified therein. It is further denied that the fines collected by the stock exchanges are being deposited into the account of stock-exchanges in violation of the Section 15JA of the SEBI Act.",,"36. It is next stated that it is the petitioner's case that he had no control over Shrenuj or its functioning, however, petitioner in his representation dated 4 January 2018 (Exhibit G) has categorically admitted that he was named as an investor promoter of Shrenuj and Company at the time of its incorporation in the year 1989. It is stated that as admittedly the Petitioner was named as a promoter of Shrenuj, in due compliance with the directions of the stock exchanges, NSDL had initiated a freeze on the demat accounts of the Petitioner. Submissions
",,,"2.3. While freezing the holdings as per paragraphs 2.1 and 2.2 above, the recognized stock exchange shall have discretion in determining which of the securities and holdings of which promoter or promoter group entity are to be frozen."
,,"sebi-wp-1590-21 24-8-24 final (2).odt along with details of promoters, including PAN number of such companies and directed NSDL to freeze all demat accounts of such promoters as per the SEBI Circular dated 7 September 2016. Accordingly, based on PANs of promoter/promoter group of compulsorily delisted companies as received from BSE, the Petitioner's account was marked as 'Suspended for Debit' until further instructions from BSE/ SEBI and the same was communicated to the Petitioner vide letters dated 8 August 2018.","30. It is next stated that Respondent No.3 is duty bound to implement the SEBI circular dated 7 September 2016 providing for 'Restrictions on Promoters and Whole-Time Directors of Compulsorily Delisted Companies Pending Fulfillment of Exit Offers to the Shareholders' , as a consequence of which the Demat account of the petitioner was freezed
","48. If this be the contention of the petitioner, we need to examine as to how and in what manner for the defaults of the company, the petitioner, who remained to be an ordinary shareholder and whose role as a promoter having come to an end and/or had become extinct, could at all be liable, for any defaults of the company for non-compliance of the SEBI regulations. We examine this question by noting the relevant provisions

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt which are sought to be applied in taking the impugned action against the petitioner. The relevant provisions of the SEBI Act read thus:-

""SEBI Act Section 11. Functions of Board.
(1) Subject to the provisions of this Act, it shall be the duty of the Board to protect the interests of investors in securities and to promote the development of, and to regulate the securities market, by such measures as it thinks fit.
(2) Without prejudice to the generality of the foregoing provisions, the measures referred to therein may provide for--
(a) regulating the business in stock exchanges and any other securities markets;
(b) registering and regulating the working of stock brokers, sub-brokers, share transfer agents, bankers to an issue, trustees of trust deeds, registrars to an issue, merchant bankers, underwriters, portfolio managers, investment advisers and such other intermediaries who may be associated with securities markets in any manner;
(ba) registering and regulating the working of the depositories, participants, custodians of securities, foreign institutional investors, credit rating agencies and such other intermediaries as the Board may, by notification, specify in this behalf;
(c) registering and regulating the working of venture capital funds and collective investment schemes, including mutual funds;
(d) promoting and regulating self-regulatory organisations;
(e) prohibiting fraudulent and unfair trade practices relating to securities markets;
(f) promoting investors' education and training of intermediaries of securities markets;",,"sebi-wp-1590-21 24-8-24 final (2).odt and accordingly, the Demat account of the petitioner was frozen on account of such default of Shrenuj. Respondent No.3 contends that the petitioner had never objected of being classified as a ""promoter"" until the freezing of his demat account.",,"44. We have heard learned counsel for the parties. With their assistance, we have perused the record and the relevant provisions of the law as involved.
",,,5. The stock exchanges and depositories shall implement the circular in coordination with one another.
,,,"45. At the outset, we may observe that this is a classic case wherein the demat accounts held by the petitioner with NSDL are freezed in July, 2018, at the behest of BSE / NSE under the directives of the SEBI on account of an alleged default of Shrenuj in compliance of the SEBI (LODR) Regulations. Such action against the petitioner is taken only for the reason that, when such company was formed in the year 1989, the

","-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt

(g) prohibiting insider trading in securities;

(h) regulating substantial acquisition of shares and take-over of companies;

(i) calling for information from, undertaking inspection, conducting inquiries and audits of the stock exchanges, mutual funds, other persons associated with the securities market, intermediaries and self-regulatory organisations in the securities market;

[(ia) calling for information and records from any person including any bank or any other authority or board or corporation established or constituted by or under any Central or State Act which, in the opinion of the Board, shall be relevant to any investigation or inquiry by the Board in respect of any transaction in securities;

(ib) calling for information from, or furnishing information to, other authorities, whether in India or outside India, having functions similar to those of the Board, in the matters relating to the prevention or detection of violations in respect of securities laws, subject to the provisions of other laws for the time being in force in this regard:

Provided that the Board, for the purpose of furnishing any information to any authority outside India, may enter into an arrangement or agreement or understanding with such authority with the prior approval of the Central Government;
(j) performing such functions and exercising such powers under the provisions of the Securities Contracts (Regulation) Act, 1956 (42 of 1956), as may be delegated to it by the Central Government;
(k) levying fees or other charges for carrying out the purposes of this section;
(l) conducting research for the above purposes;
(la) calling from or furnishing to any such agencies, as may be specified by the Board, such information as may be considered necessary by it for the efficient discharge of its functions;
(m) performing such other functions as may be",,"sebi-wp-1590-21 24-8-24 final (2).odt with effect from July, 2018 as the petitioner was admittedly classified as the promoter of Shrenuj. It is next stated that before freezing of the demat account, the petitioner never raised any objection of being classified under the 'promoter' category qua the said company. It is stated that after having failed to secure reliefs in respect of de-freezing his demat accounts, the Petitioner has belatedly filed this petition seeking diverse reliefs challenging the SEBI (LODR) Regulations as being ultra vires and claiming that compulsory delisting of securities of Shrenuj does not apply to him.",,"sebi-wp-1590-21 24-8-24 final (2).odt petitioner was one of the promoters of the company. The impugned action is taken after about 29 years of the petitioner being declared to be the promoter. It appears that except for the fact that in 1989 when Shrenuj was incorporated when the petitioner was set out to be a promoter, the petitioner had no association whatsoever with Shrenuj, subsequent to the formation of the said company. The Petitioner had remained as an ordinary shareholder of Shrenuj qua his limited shareholding. He was never a director of the company. He was never involved with the company, in any other capacity, in managing the affairs of the company. Such specific case of the petitioner appears to have gone unchallenged. Shrenuj suffered losses. It had also defaulted in complying with certain regulations as issued by the SEBI under the provisions of the SEBI Act and regulations sometime in the year 2016, at which point of time, status of the petitioner was nothing but merely of a shareholder of the company. It would be appropriate to note the default of Shrenuj as informed to Shrenuj by the Bombay Stock Exchange by its letter dated 2 March 2017 imposing a penalty/fine on Shrenuj for non-compliance of the Regulation 33 of the SEBI (LODR) Regulations. Such non-compliance of which is being held against the petitioner to freeze the petitioner's demat accounts, so as to recover the penalty/fine from the petitioner. The said letter reads thus:

""LIST/COMP/Reg.33-Dec-16/523236/834/2016-17
",,,"7. This circular shall come into force with immediate effect. The circular shall be applicable to all fines outstanding on or after the date of this circular levied in accordance with Circular No. CIR/CFD/CMD/12/2015 dated November 30, 2015 and Circular No. CIR/CFD/POLICYCELL/13/2013 dated November 18, 2013."
,,,,"-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt prescribed.

(2A) Without prejudice to the provisions contained in sub- section (2), the Board may take measures to undertake inspection of any book, or register, or other document or record of any listed public company or a public company (not being intermediaries referred to in section 12) which intends to get its securities listed on any recognised stock exchange where the Board has reasonable grounds to believe that such company has been indulging in insider trading or fraudulent and unfair trade practices relating to securities market. (3) Notwithstanding anything contained in any other law for the time being in force while exercising the powers under clause (i) or clause (ia) of sub-section (2) or sub-section (2A), the Board shall have the same powers as are vested in a civil court under the Code of Civil Procedure, 1908 (5 of 1908), while trying a suit, in respect of the following matters, namely:-

(i) the discovery and production of books of account and other documents, at such place and such time as may be specified by the Board;

(ii) summoning and enforcing the attendance of persons and examining them on oath;

(iii) inspection of any books, registers and other documents of any person referred to in section 12, at any place;

(iv) inspection of any book, or register or other document or record of the company referred to in sub-section (2A);

(v) issuing commissions for the examination of witnesses or documents.

(4) Without prejudice to the provisions contained in sub- sections (1), (2), (2A) and (3) and section 11B, the Board may, by an order, for reasons to be recorded in writing, in the interests of investors or securities market, take any of the following measures, either pending investigation or inquiry or on completion of such investigation or inquiry, namely:--

               (a)     suspend the trading of any security in a
         recognised stock exchange;

                 (b)      restrain persons from accessing the securities",,"31. Reply affidavit filed on behalf of respondent no. 4 - NSE of Mr. Ajinkya Patil, Senior Manager (Legal), NSE, opposing the petition on the ground that the appropriate remedy is available to the petitioner against the order dated 11 May 2018 passed by respondent no. 4, freezing the demat account of the petitioner lies before the Securities Appellate Tribunal, and the remedy in respect of the order dated 4 September 2018 of the Securities Appellate Tribunal lies before the Supreme Court. Reply Affidavit of CDSL",,"sebi-wp-1590-21 24-8-24 final (2).odt March 2, 2017 The Company Secretary/Compliance Officer Shrenuj & Company Ltd.
405, Dharam Palace, 100-103 N S Patkar Marg, Mumbai-400007, Maharashtra Dear Sir/Madam, Sub: Non-submission of Financial Results under Regulation 33 of the SEBI (LODR) Regulations, 2015 for December 2016 Quarter.
Pursuant to Regulation 33 of the SEBI (LODR) Regulations, 2015 where the companies required to furnish Quarterly Financial Result within 45 days of the end of that quarter to the Exchange & for the last quarter, the company has to submit, within 60 days from the end of the financial year, the Audited Financial Results for entire financial year along with the audited financial results in respect of the last quarter (balancing figure).
On scrutiny of our records we observe that the company has not submitted to the Exchange the quarterly financial results for the period ended on December 2016.
The company is advised to refer to Circular no. CIR/CFD/CMD/12/2015 dated November 30, 2015 issued by Securities Exchange Board of India (SEBI) with respect to non-compliance of certain listing regulations and adopting Standard Operating Procedure for suspension and revocation of trading of shares of listed entities or such non-compliances including levy of financial penalties. The company is liable to pay Rs. 184000/- (penalty inclusive of service tax) as on March 2, 2017. As per the provisions of the circular the penalties will continue to be computed further as mentioned below plus service tax as per applicable rates (currently @ 15%) till the date of submission (including the date of submission):
Regulation Fine payable for 1st Fine payable subsequent non-compliance and consecutive non-
compliance Regulation 33 Rs.5,000 per day of Rs. 10,000 per day of Non-submission of the non-compliance till non compliance till the financial results within the date of date of compliance and period prescribed under compliance and If if non-compliance this regulation non-compliance continues for more than continues for more 15 days, additional fine than 15 days, of 0.1% of Paid Up additional fine of capital of the entity or 0.1% of Paid Up Rs. 1 crore, whichever is capital of the entity or less.
Rs. 1 crore, whichever",,,"8. This circular is issued under regulations 97, 98, 99 and 102 read with regulation 101(2) of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015."
,,,,"                                     -------------------------



                                                                 sebi-wp-1590-21 24-8-24 final (2).odt


market and prohibit any person associated with securities market to buy, sell or deal in securities;

(c) suspend any office-bearer of any stock exchange or self-regulatory organisation from holding such position;

(d) impound and retain the proceeds or securities in respect of any transaction which is under investigation;

(e) attach, for a period not exceeding ninety days, bank accounts or other property of any intermediary or any person associated with the securities market in any manner involved in violation of any of the provisions of this Act, or the rules or the regulations made thereunder:

Provided that the Board shall, within ninety days of the said attachment, obtain confirmation of the said attachment from the Special Court, established under Section 26-A, having jurisdiction and on such confirmation, such attachment shall continue during the pendency of the aforesaid proceedings and on conclusion of the said proceedings, the provisions of Section 28-A shall apply:
Provided further that only property, bank account or accounts or any transaction entered therein, so far as it relates to the proceeds actually involved in violation of any of the provisions of this Act, or the rules or the regulations made thereunder shall be allowed to be attached.
(f) direct any intermediary or any person associated with the securities market in any manner not to dispose of or alienate an asset forming part of any transaction which is under investigation:
Provided that the Board may, without prejudice to the provisions contained in sub-section (2) or sub-section (2-A), take any of the measures specified in clause ( d) or clause (e) or clause (f), in respect of any listed public company or a public company (not being intermediaries referred to in Section 12) which intends to get its securities listed on any recognised stock exchange where the Board has reasonable grounds to believe that such company has been indulging in insider trading or fraudulent and unfair trade practices relating to securities market:",,"32. Reply affidavit of Mr. Nilay R. Shah, Group Secretary and Head Legal, Central Depository Service (India) Limited (for short ""CDSL"") is filed on behalf of respondent no. 5 - CDSL inter alia contending that the",,"sebi-wp-1590-21 24-8-24 final (2).odt is less.
Paid up Captial as on the first day of the financial year in which the non- compliance occurs.
The company is therefore advised to note that as per the provisions of this circular:
• The aforesaid fines plus service tax alongwith the financial results for the said Quarter must be submitted within 15 days from the date of this letter. • Further In the event of this being the second consecutive quarter of non- compliance for this Regulation, non-payment of fines including service tax and non-submission of financial results, within 15 days of this letter, would result the company being transferred to Z group and liable for suspension of trading of its equity shares.
Additionally, the company is also advised to note that provisions of SEBI circular no. SEBI/HO/CFD/CMD/CIR/P/2016/116 dated October 26, 2016 titled ""Freezing of Promoter and Promoter group Demat accounts for Noncompliance with certain provisions of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"" would be applicable immediately with respect to nonpayment of fine.
A signed scanned copy of the financial results along with the covering letter can be uploaded on the following link of Listing Center: http://listing.bseIndia acom (for assistance in login and uploading on listing centre the company can contact helpdesk on Tel. No. 022- 61363155 or email id: listingcentre@bseindia.com). The format of financial results can be downloaded from the website: http://www.bseindia.com/ It may be noted that effective from December 1, 2015, those fillings that are not filed with the Exchange through the Listing Centre are liable to be considered as non-submission and consequent non-compliance with the Regulations. In this regard companies are requested to refer Circular issued by the Exchange on November 30, 2015 on MANDATORY FILING OF INFORMATION WITH THE EXCHANGE IN ELECTRONIC MODE.
In case of any further clarification in this matter please contact Mr. Mandar Chavan on Tel. No. 22728514/ Mr. Sambhaji Solat on 22728074/ Mr. Manish Raval on 22725025 or email at bse.revocation@bscindia.com Yours faithfully, Sambhaji Solat Manish Raval Associate Manager Asst. Manager Listing Compliance Listing Compliance Company is requested to remit the fine amount through electronic transfer to the designated bank-details given below; or through cheque favoring BSE Ltd. The company is required to submit the cheque alongwith the",,,"68. We may also observe that there can be no two opinions, that an action to freeze the petitioner's Demat account is an action entailing drastic civil consequences. The shares, subject matter of such account, are the property of the petitioner. Any coercive action in respect of one's property is required to be taken in accordance with law and after"
,,,,"-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt Provided further that the Board shall, either before or after passing such orders, give an opportunity of hearing to such intermediaries or persons concerned.
(4A) Without prejudice to the provisions contained in sub-
sections (1), (2), (2A), (3) and (4), section 11B and section 15- I, the Board may, by an order, for reasons to be recorded in writing, levy penalty under Sections 15A, 15B, 15C, 15D, 15E, 15EA, 15EB, 15F, 15G, 15H, 15HA and 15HB after holding an inquiry in the prescribed manner.

(5) The amount disgorged, pursuant to a direction issued, under Section 11B of this Act or Section 12A of the Securities Contracts (Regulation) Act, 1956 (42 of 1956) or Section 19 of the Depositories Act, 1996 (22 of 1996) or under a settlement made under Section 15-JB or Section 23-JA of the Securities Contracts (Regulation) Act, 1956 (42 of 1956) or Section 19-IA of the Depositories Act, 1996 (22 of 1996), as the case may be, shall be credited to the Investor Protection and Education Fund established by the Board and such amount shall be utilised by the Board in accordance with the regulations made under this Act.

Section 15-A. Penalty for failure to furnish information, return, etc.--If any person, who is required under this Act or any rules or regulations made thereunder,--

(a ) to furnish any document, return or report to the Board, fails to furnish the same or who furnishes or files false, incorrect or incomplete information, return, report, books or other documents, he shall be liable to a penalty, of one lakh rupees for each day during which such failure continues or one crore rupees, whichever is less;

(b ) to file any return or furnish any information, books or other documents within the time specified therefor in the regulations, fails to file return or furnish the same within the time specified therefor in the regulations or who furnishes or files false, incorrect or incomplete information, return, report, books or other documents, he shall be liable to a penalty of one lakh rupees for each day during which such failure continues or one crore rupees, whichever is less; (c ) to maintain books of account or records, fails to maintain the same, he shall be liable to a penalty of one lakh",,"sebi-wp-1590-21 24-8-24 final (2).odt Petitioner, a promoter of Shrenuj. It is next stated that NSDL, as a depository, acts only on the instructions received from SEBI/stock exchanges and is not involved in the decision-making process relating to freezing of any individual's demat accounts.",,"sebi-wp-1590-21 24-8-24 final (2).odt covering letter (format given at Annexure below):Listing Compliance, BSE Limited, Ground Floor, P. J. Towers, Fort, Mumbai-400001.
Sub: Details of Payment of Penalties for Non-Compliance of regulation(s) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.
Remittance details:1. Please mention the Regulation No., Quarter, and amount of TDS deducted on the reverse side of the Cheque/Demand Draft.
2. In case of payment through RTGS/NEFT, you are requested to send a soft copy of this annexure to be revocation@bseindia.""",,,sebi-wp-1590-21 24-8-24 final (2).odt
,,,,"-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt rupees for each day during which such failure continues or one crore rupees, whichever is less.

Section 15-I. Power to adjudicate.-- (1) For the purpose of adjudging under Sections 15-A, 15-B, 15-C, 15-D, 15-E, 15- EA, 15-EB, 15-F, 15-G, 15-H, 15-HA and 15-HB the Board may appoint any officer not below the rank of a Division Chief to be an adjudicating officer for holding an inquiry in the prescribed manner after giving any person concerned a reasonable opportunity of being heard for the purpose of imposing any penalty.

(2) While holding an inquiry the adjudicating officer shall have power to summon and enforce the attendance of any person acquainted with the facts and circumstances of the case to give evidence or to produce any document which, in the opinion of the adjudicating officer, may be useful for or relevant to the subject-matter of the inquiry and if, on such inquiry, he is satisfied that the person has failed to comply with the provisions of any of the sections specified in sub- section (1), he may impose such penalty as he thinks fit in accordance with the provisions of any of those sections. (3) The Board may call for and examine the record of any proceedings under this section and if it considers that the order passed by the adjudicating officer is erroneous to the extent it is not in the interests of the securities market, it may, after making or causing to be made such inquiry as it deems necessary, pass an order enhancing the quantum of penalty, if the circumstances of the case so justify:

Provided that no such order shall be passed unless the person concerned has been given an opportunity of being heard in the matter:
Provided further that nothing contained in this sub- section shall be applicable after an expiry of a period of three months from the date of the order passed by the adjudicating officer or disposal of the appeal under Section 15-T, whichever is earlier.
.........
15J. Factors to be taken into account by the adjudicating officer.
While adjudging quantum of penalty under section 15-I, the",,"38. It is submitted that no notice was issued to the petitioner before freezing of his demat accounts, which not only affected the shares held by the petitioner in Shrenuj, but also the shares he held in other companies. It is also submitted that no opportunity of a hearing in any form was granted to the petitioner before any action of freezing the property of the petitioner was taken. It is submitted that, apart from the breach of the principles of natural justice, no reasoned order is passed as to how and in what manner and under what provisions of the statute or the regulations, the petitioner becomes liable for the acts of Shrenuj.",,"46. It is clear from the reading of the aforesaid communication addressed by BSE to Shrenuj that a ""penalty/fine"" is to be recovered from Shrenuj. However, while doing so, BSE has also put Shrenuj to notice of the ""Freezing of Promoter and Promoter Group Demat accounts for non- compliance with certain provisions of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"" to be applicable
",,,sebi-wp-1590-21 24-8-24 final (2).odt
,,,,"-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt adjudicating officer shall have due regard to the following factors, namely :--
(a) the amount of disproportionate gain or unfair advantage, wherever quantifiable, made as a result of the default;
(b) the amount of loss caused to an investor or group of investors as a result of the default;
(c) the repetitive nature of the default.
15JA. Crediting sums realised by way of penalties to Consolidated Fund of India.

All sums realised by way of penalties under this Act shall be credited to the Consolidated Fund of India.

... ... .. .. ..

Section 30. Power to make regulations --

(1) The Board may, by notification, make regulations consistent with this Act and the rules made thereunder to carry out the purposes of this Act.

(2) In particular, and without prejudice to the generality of the foregoing power, such regulations may provide for all or any of the following matters, namely:--

(a) the times and places of meetings of the Board and the procedure to be followed at such meetings under sub-section (1) of Section 7 including the quorum necessary for the transaction of business;
(b) the term and other conditions of service of officers and employees of the Board under sub-section (2) of Section 9;
(c) the matters relating to issue of capital, transfer of securities and other matters incidental thereto and the manner in which such matters shall be disclosed by the companies under Section 11-A;
(ca) the utilisation of the amount credited under sub-section (5) of Section 11;
(cb) the fulfillment of other conditions relating to collective investment scheme under sub-section (2-A) of Section 11-AA;
(d) the conditions subject to which certificate of registration is to be issued, the amount of fee to be paid for certificate of registration and the manner of suspension or cancellation of certificate of registration under Section 12.",,"39. It is next submitted that the circular dated 7 September 2016, on the basis of which the SEBI intends to rely in justifying the impugned action, cannot go beyond the provisions of the SEBI Act.",,"(h) regulating substantial acquisition of shares and take-over of companies;
",,,(emphasis supplied)
,,,,"-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt (da) the terms determined by the Board for settlement of proceedings under sub-section (2) and the procedure for conducting of settlement proceedings under sub-section (3) of Section 15-JB (db) any other matter which is required to be, or may be, specified by regulations or in respect of which provision is to be made by regulations.""

(emphasis supplied)",,"40. It is submitted that the provisions of Section 15A of the SEBI Act provides for penalty for failure to furnish information, return, etc., in which the maximum penalty is Rs. 1 crore, provided the essential",,"(i) calling for information from, undertaking inspection, conducting inquiries and audits of the stock exchanges, mutual funds, other persons associated with the securities market, intermediaries and self-regulatory organisations in the securities market;
",,,"sebi-wp-1590-21 24-8-24 final (2).odt untenable pretext, merely because he was a promoter. Over and above these respondents have acted in complete contravention of law and non application of mind in precipitating and compounding such action. In this view of the matter, we would be failing in our duty if we take a casual view of the matter and let the proceedings pass without any deterrent, failing which we shall be failing in our duty. We are therefore inclined to make an appropriate order imposing costs."
,,,,"49. The relevant provisions of SEBI (LODR) Regulations, 2015 read thus:

97. Monitoring of Compliance/Non Compliance & Adequacy/ Accuracy of the disclosures (1) The recognised stock exchange(s) shall monitor compliance by the listed entity with provisions of these regulations.
(2) The recognised stock exchange(s) shall also monitor adequacy/ accuracy of the disclosures made by listed entity with respect to provisions of these regulations. (3) The recognised stock exchange(s) shall submit a report to the Board, with respect to the obligations specified in sub- regulations (1) and (2), in the manner specified by the Board. (4) The recognised stock exchange(s) shall put in place appropriate framework including adequate manpower and such infrastructure as may be required to comply with the provisions of this regulation.

98. Liability for contravention of the Act, rules or the regulations.

(1) The listed entity or any other person thereof who contravenes any of the provisions of these regulations, shall, in addition to liability for action in terms of the securities laws, be liable for the following actions by the respective stock exchange(s), in the manner specified in circulars or guidelines issued by the Board:

                (a)     imposition of fines;
                (b)     suspension of trading;
                (c)     freezing of promoter/promoter group holding of
designated securities, as may be applicable, in coordination with depositories.


-------------------------




                                                                sebi-wp-1590-21 24-8-24 final (2).odt


               (d)    any other action as may be specified by the
         Board from time to time

(2) The manner of revocation of actions specified in clauses

(b) and (c) of sub-regulation (1), shall be as specified in circulars or guidelines issued by the Board.

99. Failure to pay fine.",,"sebi-wp-1590-21 24-8-24 final (2).odt the Securities Contracts (Regulation) Act, 1956 confers power on the recognized Stock Exchange to make bye-laws for regulation and control of contracts, which includes in clause (o) under sub-section (2) which prescribes the power to levy and recover fees, fines and penalties. It is submitted that what has been done by the impugned order is to levy a penalty on the petitioner and hence, the action of the SEBI to have such regulations, cannot be assailed.",,"(i) the discovery and production of books of account and other documents, at such place and such time as may be specified by the Board;
",,,"(iii) The SEBI (Delisting of E quity Shares) Regulations, 2009 are also referred on behalf of the respondents to justify the action under Chapter V providing for ""Compulsory Delisting"". The reply affidavit has referred to Regulation 23, which deals with"
,,,,"[(2) For seeking relaxation under sub-regulation (1), an application, giving details and the grounds on which such relaxation has been sought, shall be filed with the Board. [(3) The application referred to under sub-regulation (2) shall be accompanied by a non-refundable fee of rupees one lakh payable by way of direct credit into the bank account through NEFT/ RTGS/ IMPS or online payment using the SEBI Payment Gateway or any other mode as may be specified

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt by the Board from time to time.

(emphasis supplied)",,"47. However, what is pertinent is that once the petitioner's role as the promoter had come to an end after the formation of the company and once the company stood incorporated i.e. ""a legal person born"", according to the petitioner, it would be subjective and issue of fact, as to what is the role of the promoter, as such role would cease to exist, as the entire management of the company, as per the provisions of the Companies Act, 2013 would stand vested with the Board of Directors. It is hence, the petitioner's submission that the compliance of all the obligations under the SEBI Act and the regulations made thereunder was the obligation of the company as managed by its Board of Directors. Even assuming that there was a default in complying with the regulations, the petitioner's case is to the effect that such obligation can never be attributable to the promoters like the petitioner, who was not concerned with the day-to-day affairs of the company.",,"(ii) summoning and enforcing the attendance of persons and examining them on oath;
",,,"sebi-wp-1590-21 24-8-24 final (2).odt ""Rights of public shareholders in case of a compulsory delisting"". We have noted Regulation 23(3) as relied by the respondents, which provides that the promoter of the company shall acquire delisted equity shares from the public shareholders by paying them the value determined by the valuer, subject to their option of retaining their shares. Certainly, no obligation of this nature appears to have been crystallized in a manner known to law qua the petitioner. Thus, such obligation cannot be fastened on the petitioner by an action of freezing the petitioner's demat accounts. If such an obligation is to be enforced, there are several facts which would be required to be taken into consideration to determine the role of the person whether he is the promoter at the relevant time considering the relevant facts and in the real sense as the law would mandate. Thus, reference of the respondents to the SEBI (Delisting of Equity Shares) Regulations, 2009 appears to be an exercise in total futility."
