case_id,case_name,Facts,Issues,Analysis of the Law,Unnamed: 5,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,Unnamed: 9,Conclusion,Unnamed: 10
,,,,"76. Holding that the question of jurisdiction of the Court, or of procedure, or a pure question of law unrelated to the right of the parties to a previous suit, is not res judicata in the subsequent suit, the observations of Rankin, C.J. in Tarini Charan Bhattacharjee v. Kedar Nath Haldar 33, were reproduced :-
""The object of the doctrine of res judicata is not to fasten upon parties special principles of law as applicable to them inter se, but to ascertain their rights and the facts upon which these rights directly and substantially depend; and to prevent this ascertainment from becoming nugatory by precluding the parties from reopening or recontesting that which has been finally decided.""
In paragraph 10 of the law report, Justice J.C. Shah concluded that a question relating to jurisdiction of a Court cannot be deemed to have been finally determined by an erroneous decision of the Court and if by an erroneous interpretation of the statute, the Court holds that it has no jurisdiction, the question would not operate as res judicata. Similarly, by an erroneous decision, if the Court assumes jurisdiction, which it did not possess under the statute, the question cannot operate as res judicata between the same parties, whether the cause of action in the subsequent litigation is the same or otherwise.",,,,"It is, after this reporting, the partial Award on jurisdiction and quantum was passed by ICC Tribunal on 24.08.2007 and, therefore, the contention of Mr. Chinoy that the scheme of demerger was intended to defraud IMAX, the Petitioner, cannot be accepted.",,,
,,,,"The question relating to limitation thus cannot be deemed to have been determined by an erroneous decision of the Court and such decision shall not operate as res judicata at a subsequent stage between the same parties because if it is considered to be conclusive, it will assume the status of a special rule that is applicable to the Petitioner and the Respondent No.1, relating to the jurisdiction of the Court to entertain the application in derogation of the rule declared by the legislature that Article 137 of the Schedule of the 81/168 CARBP-414-18.odt Limitation Act and Section 3 of the Limitation Act and, particularly, this is what the law laid down by the Apex Court in Vedanta Limited (supra), concluding that the foreign awards are not decrees of the Indian Civil Court and the application for its execution would be an application not covered under any other Article of the Limitation Act, and, hence, would be covered by Article 137 of the Limitation Act, 1963.",,,,"The Petitioner had a knowledge of the demerger of Respondent No.1 when it approached the Supreme Court of New York as an authenticated true copy of the order dated 31/08/2007 passed by the Bombay High Court in Company Petition No.407/2007 approving the scheme of demerger between Respondent Nos.1 and 3 was annexed alongwith the proceedings and the certified copy of the same was obtained by the Petitioner on 01/11/2007. Since the Petitioner continued to remain silent despite having knowledge of the demerger scheme from 2008, after a gross delay of 11 years, there cannot be an indirect challenge to the scheme of demerger as the orders have already attained finality.

                                 137/168                CARBP-414-18.odt

                                ISSUE NO.F",,,
,,,,"It is in these circumstances, while concluding that enforcement and execution can form part of the same proceedings, Article 136 under the Limitation Act is invoked.",,,,"He would candidly submit that the Respondent Nos.2 to 4 have been joined at the execution stage of the awards as the respondents have, during the pendency of the arbitration proceedings, divested the assets and properties of Respondent No.1 to the Respondent Nos.2 and 3 Companies through the two schemes of De-merger, leaving E-City Entertainment (L) Pvt Ltd with a meager asset of approx. 700,000 US$. The Respondent No.1 face an accusation that this improper diversion of its assets to the Respondent No.2 i.e. E-City Real 138/168 CARBP-414-18.odt Estate Pvt. Ltd. took place in June 2007 after the 'liability award' dated 09/03/2006 was made and the improper diversion of balance assets of E-City to the Respondent No.3, E- City Project Construction Pvt Ltd, took place in August 2007 after both, the liability award' dated 09/07/2007 and the 'quantum award' dated 24/08/2007 were pronounced. As far as Respondent No.4 E-City Investment and Holding Co. Pvt. Ltd is concerned, it is the holding Company which holds more than 98% shares of E-City Real Estate and E-City Project Construction Pvt.Ltd, and which along with, E-City Real estates holds 99% of E-City Entertainments.",,,
,,,,"80. Reliance is placed on the well settled position of law as set out in Fiza Developers(supra) to the effect that until disposal of the application under Section 34 of the Arbitration Act, there is an implied prohibition on enforcement of the arbitral award as the very filing and pendency of the application under Section 34, in effect operated as stay on the enforcement of the award.

Laying emphasis on the provisions of the Arbitration Act, prior to its amendment by the 2015 Amendment Act (with effect from 23/10/2015), the observations in paragraphs 19 and 20 in Fiza Developers (supra) were reproduced in support of the plea that filing and pendency of an application under Section 34, in effect, operate as a stay to the enforcement of the award.

My attention is invited to the decision of the Apex Court in case of Hindustan Construction Company Ltd. (supra), wherein it is categorically held and declared that there was never an automatic stay on enforcement of an award, upon filing of a petition under Section 34 of the Act, either pre or post to 2015 amendment to the Act, and the decision in case of Fiza Developers (supra) was expressly over ruled by declaring it to be per incuriam including paragraph 20 thereof, which formed the basis of the incidental observations in the order dated 13/11/2019 as regards applicability of the limitation prescribed under Article 137 of the Limitation Act.

It would be appropriate to reproduce relevant observations in Hindustan Construction Company Ltd. (supra), to the following effect:

85/168 CARBP-414-18.odt

32. When this Court speaks of 'the mandatory language of Section 34' of the Arbitration Act, 1996 obviously what is meant is the language of Section 36 of the Arbitration Act, 1996, as noted by National Buildings Construction Corporation Ltd.vs. Lloyds Insulation India Ltd. (2005) 2 SCC 367 (in paragraph 6). In Fiza Developers and Inter-Trade (P) Ltd. v. AMCI (Budia) (P) Ltd., this Court held: [Fiza Developers & Inter-Trade case, SCC p. 801, para

20. Section 36 provides that an award shall be enforced in the same manner as if it were a decree of the court, but only on the expiry of the time for making an application to set aside the arbitral award under Section 34 or such application having been made, only after it has been refused. Thus until the disposal of the application under Section 34 of the Act, there is an implied prohibition of enforcement of the arbitral award. The very filing and pendency of an application under Section 34, in effect, operates as a stay of the enforcement of the award.""

33. To state that an award when challenged under Section 34 becomes unexecutable merely by virtue of such challenge being made because of the language of Section 36 is plainly incorrect. As has been pointed out hereinabove, Section 36 was enacted for a different purpose. When read with Section 35, all that Section 36 states is that enforcement of a final award will be under the CPC, and in the same manner as if it were a decree of the court. In fact, this is how Section 36 has been read by a three-Judge Bench in Leela Hotels Ltd. v. Housing & Urban Development Corpn. Ltd. as follows: (SCC p. 313, para 45) ""45. Regarding the question as to whether the award of the learned arbitrator tantamounts to a decree or not, the language used in Section 36 of the Arbitration and Conciliation Act, 1996, makes it very clear that such an award has to be enforced under the Code of Civil Procedure in the same manner as it were a decree of the court. The said language leaves no room for doubt as to the manner in which the award of the learned arbitrator was to be accepted.""

38. Thus, the reasoning of the judgments in NALCOS, and Fiza Developer Inter-Trade (P) Ltd. being per incuriam in not noticing Sections 9, 35 and the second part of Section 36 of the Arbitration Act, 1996, do not commend themselves to us and do not state the law correctly. The fact that NALCO has been followed in National Buildings Construction Corpn. Ltd. v. Lloyds Insulation (India) Ltd. (supra) does not take us any further, as National Buildings Construction Corpn. Ltd. in following NALCO, a per incuriam judgment, also does not state the law correctly. Thus, it is clear that the automatic stay of an award, as laid down by these decisions, is incorrect. The resultant position is that Section 36 - even as originally enacted- is not meant to do away with Article 36(2) of the UNCITRAL Model Law, but is really meant to do away with the two bites at the cherry doctrine in the context of awards made in India, 86/168 CARBP-414-18.odt and the fact that enforcement of a final award, when read with Section 35, is to be under the CPC, treating the award as if it were a decree of the court.",,,,"133. The legal scenario flowing from the decision, has acknowledged that the doctrine of piercing the corporate veil, is also applicable in execution proceedings, when the Company is a creature of the group and it has masked itself in an attempt to avoid recognition by the eye of equity or when it is a mere cloak or sham and in truth, the business was being carried out by one person and not by a company as a separate entity, or when the Companies are intricably interlinked corporate entities. The Corporate veil can be lifted in cases where the Court from the material on record derive an inference that the judgment debtor is trying to defeat the execution of the award and in such a situation, if Respondent Nos.2 and 3 are only the cloaks and mask behind which the Respondent No.1 attempted to operate, so as to avoid its liability under the awards and the entire assets were transferred only with this intention, then, in such exceptional circumstances, it is permissible to pierce the corporate veil 140/168 CARBP-414-18.odt and the law in this regard is, by this time, well settled.",,,
,,,,"81. In the wake of the aforesaid, since the judgment in Fiza Developers (supra), which contemplated that in enforcement of the arbitral award, by the very filing and pendency of an application under Section 34, amount to stay on the enforcement, has lost its ground and the order dated 13/11/2019 which is based on Fiza Developers (supra) also cannot sustain.

In the wake of the aforesaid, the said order cannot operate as res judicata between the parties as Hindustan Construction Company Ltd. (Supra) has declared the law that there was never an automatic stay on enforcement of an award, upon filing of a petition under Section 34 of the Act and the incidental observation in relation to Article 137 of the Schedule to the Limitation Act, in the order dated 13/11/2019, has also lost its grounds, though I am of the firm view that the reference to Article 137, and its applicability was only a non- incidental discussion. The observations in the order dated 13/11/2019, in so far as Article 137 of the Schedule of the Limitation Act is concerned being only incidental observations, as the objection raised by the Respondent No.1 and the determination was focused upon the applicability of the Article 136 and therefore, I find substance in the submission of Mr.Seksaria, that the order dated 13/11/2019, cannot operate as res judicata or issue estoppel.",,,,"134. E-City Entertainment (I) Pvt.Ltd, Respondent No.2 was incorporated on 29/4/2005, a year later, after the claim was instituted by IMAX before the ICC, whereas Respondent No.3, E-City Project Construction was incorporated was 8/6/2005.",,,
,,,,"83. In Sukhbiri Devi & Ors. Vs. Union of India & Ors. 34, while deciding as to when can a preliminary issue under Order 14 Rule 2 (2) (b) of CPC be formulated, received the answer in the following words:-

""17. In view of the legal position obtained from the decision in Nusli Neville Wadia's case the following decisions also assume relevance. In the decision in National Insurance Co. Ltd. v. Rattani this Court held that an admission made in the pleadings by a party is admissible in evidence proprio vigore. Equally well settled is the principle of law that an admission made by a party in his pleadings is admissible against him proprio vigore (see the decisions in Ranganayakamma v. K.S. Prakash (Dead) By LRs. and Vimal Chand Ghevarchand Jain v. Ramakant Eknath Jadoo.
18. In the context of the usage of the expression ""admitted facts"" in paragraph 52 of the decision in Nusli Neville Wadia's case and the word 'admission' employed the National Insurance CO. Ltd. case a reference to Sections 17, 18 and 58 of the Indian Evidence Act would not be inappropriate. A conjoint reading of the said provision would reveal that 'statements' by a party to proceedings are admissions and facts admitted need not be proved.
19. We referred to the said provisions and decisions only to stress upon the point that the appellants cannot legally have any dispute or grievance in taking their statements in the plaint capable of determining the starting point of limitation for the purpose of application of Order XIV, Rule 2(2)(b) of the CPC. Though, limitation is a mixed question of law and facts it will shed the said 34 2022 SCC OnLine SC 1322 88/168 CARBP-414-18.odt character and would get confined to one of question of law when the foundational fact(s), determining the starting point of limitation is vividly and specifically made in the plaint averments. In such a circumstance, if the Court concerned is of the opinion that limitation could be framed as a preliminary point and it warrants postponement of settlement of other issues till determination of that issue, it may frame the same as a preliminary issue and may deal with the suit only in accordance with the decision on that issue. It cannot be said that such an approach is impermissible in law and in fact, it is perfectly permissible under Order XIV, Rule 2(2)(b), CPC and legal in such circumstances. In short, in view of the decisions and the provisions, referred above, it is clear that the issue limitation can be framed and determined as a preliminary issue under Order XIV, Rule 2(2)(b), CPC in a case where it can be decided on admitted facts.""
84. The order dated 13/11/2019, has conclusively held that Article 136 apply to a foreign award, since it is stamped as a decree, by referring to the decision of the Apex Court in Fuerst Day Lawson Ltd. (supra) and M/s. Compania Naviera 'sodnoc vs. Bharat Refinaries Ltd, with respect to limitation being 12 years and the objection raised by E-City that the petition is barred by limitation, by applying Article 137 was rejected.",,,,"All the Respondents collectively have adopted a stand that since the scheme of demerger was sanctioned by the High Court, and it is now not permissible to re-open them after a lapse of considerable time.",,,
,,,,"85. Enforcement of an arbitral award may be refused by a Court, if the Court finds that the enforcement will be contrary to the public policy of India..

The Foreign Awards (Recognition & Enforcement) Act, 1961 which find the term 'Public Policy' in Section 7(1)(b)

(ii) , in absence of workable definition of International Public Policy, has been construed to mean the 'Public Policy' as applied by the Courts in such Foreign Award is sought to be imposed.

In Renusagar (supra), the term 'public policy' applied with reference to the said Act has received following interpretation :-

90/168 CARBP-414-18.odt ""46. While observing that ""from the very nature of things, the expressions public policy', 'opposed to public policy' or 'contrary to public policy are incapable of precise definition"" this Court has laid down: (SCC p. 217, para 92) :

""Public policy... connotes some matter which concerns the public good and the public interest. The concept of what is for the public good or in the public interest or what would be injurious or harmful to the public good or the public interest has varied from time to time."" (See: Central Inland Water Transport Corpn. Ltd. v. Brojo Nath Ganguly.)
47. The need for applying the touchstone of public policy has been thus explained by Sir William Holdsworth:

""In fact, a body of law like the common law, which has grown up gradually with the growth of the nation, necessarily acquires some fixed principles, and if it is to maintain these principles it must be able, on the ground of public policy or some other like ground, to suppress practices which, under ever new disguises, seek to weaken or negative them."" (History of English Law, Vol. III, p. 55)
48. Since the doctrine of public policy is somewhat open-textured and flexible, Judges in England have shown certain degree of reluctance to invoke it in domestic law. There are two conflicting positions which are referred as the 'narrow view' and the 'broad view. According to the narrow view courts cannot create new heads of public policy whereas the broad view countenances judicial law making in this areas. (See: Chitty on Contracts, 26th Edn., Vol. I, a para 1133, pp. 685-686). Similar is the trend of the decision in India. In Gherulal Parakh v. Mahadeodas Maiya"" this Court favoured the narrow view when it said:

""... though the heads are not closed and though theoretically it may be permissible to evolve a new head under exceptional circumstances of a changing world, it is admissible in the interest of stability of society not to make any attempt to discover new heads in these days"" (p. 440)
49. In later decisions this Court has, however, leaned towards the broad view. [See: Murlidhar Agarwal v. State of U.P.; Central Inland Water Transport Corpn. v. Brojo Nath Ganguly at p. 373; Rattan Chand Hira Chand v. Askar Nawaz Jung.]

50. In the field of private international law, courts refuse to apply a rule of foreign law or recognise a foreign judgment or a foreign arbitral award if it is found that the same is contrary to the public policy of the country in which it is sought to be invoked or enforced. The English courts follow the following principles:

""Exceptionally, the English court will not enforce or recognise a right conferred or a duty imposed by a foreign law where, on the facts of the particular case, enforcement or, as the case may be, 91/168 CARBP-414-18.odt recognition, would be contrary to a fundamental policy of English law. The court has, therefore, refused in certain cases to apply foreign law where to do so would in the particular circumstances be contrary to the interests of the United Kingdom or contrary to justice or morality."" (See: Halsbury's Laws of England, 4th Edn., Vol. 8, para 418.)""
In the Act of 1996, Explanation 1 appended, offer the following clarification:-

""Explanation 1. - For the avoidance of any doubt, it is clarified that an award is in conflict with the public policy of India, only if,-
(i) the making of the award was induced or affected by fraud or corruption or was in violation of section 75 or section 81; or
(ii) it is in contravention with the fundamental policy of Indian law; or
(iii) it is in conflict with the most basic notions of morality or justice.""
In addition, Explanation 2 offers further clarity, by asserting as under :-

Explanation 2. - For the avoidance of doubt, the test as to whether there is a contravention with the fundamental policy of Indian law shall not entail a review on the merits of the dispute.",,,,"128. Section 49 casts an obligation upon the Court to satisfy itself that the foreign award in consideration before it is enforceable under Chapter II. This would necessarily mean that the Court would have to satisfy itself that the exceptions to enforcement as set out in Section 48(1) of the Arbitration Act are not attracted, since then the Court is bound to refuse enforcement.",,,
,,,,"In light of Section 5 of FEMA, which empowers the Central Government, in consultation with RBI and in public 94/168 CARBP-414-18.odt interest to impose reasonable restrictions for Current Account Transactions, the power available has been exercised by RBI on various Current Account Transactions, including the transaction under the agreement and what is relied upon is the RBI Circular dated 24/08/2000 and the FEMA (Current Account Transaction Rules), 2000.

Section 13 of the FEMA has prescribed penalty for contravening any rule, regulation, notification, direction or order issued in exercise of the powers under the Act or if it result in contravention of any condition, subject to which an authorisation is issued by Reserve Bank.

RBI Circular of 24/08/2000, issued under FEMA with reference to the Government of India Notification dated 03/05/2000, notifying the Rules of 2000, which has prohibited certain Current Account Transactions and restrictions being imposed in other transactions, has set out that the transactions specified in Schedule II of the notification require prior approval of the Government of India, whereas those mentioned in Schedule III require the prior approval of RBI and the authorised dealers were directed to follow the directions contained in the Annexure while dealing with the applications relating to the import of goods and services into India.

The notification clarified that the transactions contained in the Annexure shall be read with the Rules notified by the Government of India on 03/05/2000 and the directions in the Circular have been issued under Section 10(4) and Section 11(1) of the FEMA and contravention of any non-observance of these directions is made subject to the penalties prescribed under FEMA.",,,,"73. Various allegations of fraud have been averred in the Chamber Summons which are nothing but bare assertions, allegations, surmises and conjectures and hence, it would not be necessary for this Court to go into the same, without the same being established. These allegations have been made in support of the Applicant's contention that the Corporate Veil is required to be lifted to execute the Foreign Award against the Additional Respondents albeit they are not parties to the Foreign Award and/or the Foreign Award not having been passed against them. Since various submissions have been made with regard to lifting of the Corporate Veil, it would be necessary to deal with these submissions in order to consider whether the Executing Court can at all lift the Corporate Veil by making parties personally liable to satisfy the decree in execution, when the decree/Foreign Award (in the present case) was not passed against them.""",,,
,,,,"88. The Annexure contemplate distinct situations and Part 'A' contemplate 'Import of Goods' and cover 'Advance Remittance' in point A.11, which permit authorised dealers to allow advance remittance for import of goods, without any ceiling, subject to the following conditions :-

""(c) if the amount of advance remittance exceeds U.S.$25,000 or its equivalent, a guarantee from an international bank of repute situated outside India or a guarantee of an authorised dealer in India, if such a guarantee is issued against the counter-guarantee of an international bank of repute situated outside India, should be obtained. An unconditional stands by L/C from an international bank of repute situated outside India may also be accepted in lieu of bank guarantee provided it is irrevocable, non-transferable and lists out full particulars of the transactions and there is a clear provision for prompt payment being received in convertible currency in an approved manner. The validity of the guarantee/letter of credit should adequately cover the period for the purpose of enforcing payment;
(d) physical import of goods into India should be made within three months (twelve months in case of capital goods) from the date of remittance and the importer should given an undertaking to furnish documentary evidence of import within fifteen days from the close of the relevant period. Authorised dealers, if satisfied with the request, may allow extension of time for import not exceeding one month (three months in case of capital goods). In cases where the advance remittance has been made against a bank guarantee, the guarantee should be suitably amended, if need be, to cover the extended period for import of goods into India; and
(e) authorised dealer should ensure that in the event of non-import of goods, the amount of advance remittance is repatriated to India or is utilised for any other purposes for which release of exchange is permissible under the Act, Rules or Regulations made thereunder, to the satisfaction of the authorised dealer.""",,,,"The allegation of the Crown was that the business of Prolink was purchased by a loan from a bank and GBP 200,000 which were funds that G had allegedly money- laundered. The shareholding in Prolink was split 34-33-33 between Mr.G, Mr.Croft and Mr.Kennedy. Prolink's business was operated out of a valuable yard which was owned by Powervale. Powervale was owned entirely by Prolink. All 3 of the shareholders were directors in Prolink and Powervale. The Court had to determine whether it could treat the assets of Powervale including the valuable yard, as the assets of Mr.G. The parties were ad idem on the law regarding piercing the veil; that assets or property owned by the company are not the property of the shareholders; that in order to lift the veil it must be shown that the Defendant had used the corporate structure as a device or facade to conceal criminal activities; it has to be shown that either the company was conceived in fraud or that though incorporated for a legitimate purpose, it's character has wholly changed and become essentially a vehicle for money laundering or fraudulent activities.",,,
,,,,"89. In respect of the transaction contemplated in the LOI (Clause 5 of the agreement) relating to deferred payment of USD 19,00,000 to be paid in several installments over 5 years, including installment worth USD 3,80,000 every year E-City perceived that any remittance over a period of 6 months require approval of RBI/Government of India in accordance 96/168 CARBP-414-18.odt with Regulation 5(3) of Reserve Bank Notification dated 03/05/2000.

Clause A.12 of Circular NO.9 dated 24/08/2000, which set the time-limit for Import Payments, provided thus :-

""A.12 Time Limit for Settlement of Import Payments
(i) In terms of the extant Rules, remittances against imports should be completed not later than six months from the date of shipment. Accordingly, deferred payment arrangements involving payments beyond a period of six months form the date of shipment are treated as external commercial borrowings which require prior approval of the Reserve Bank/Government of India {cf: Regulation 5(3) of Reserve Bank Notification No.FEMA 3/2000-RB dated May 3, 2000}.....""",,,,"154. Both parties advanced expert evidence on the procedure before the Ontario Court by which amendments are permitted, though both sides accepted that the procedural law of the arbitration is English. However, one of the experts, Mr.Farley QC was firmly of the view that if this matter was before the Ontario Court, it would permit the change of the name from ""Limited"" to ""Corporation"", the change being a formality and not a matter of substance. Recording that the arbitration was subject to ICC Rules and the English Arbitration Act of 1996, but the procedure appears to have been adopted in Ontario Court, being helpful in illustrating whether as a matter of Canadian law, the Tribunal is concerned merely with a change of name or whether it is concerned with substantive rights and who may exercise them.",,,
,,,,"Clause 8 of the agreement pertaining to a non-exclusive, non- transferable license to use the IMAX trade mark in accordance with IMAX's standard license terms, even contemplated prior approval of Government of India and also of RBI, in the wake of the following stipulations in the Foreign Exchange Management (Current Account Transaction) Rules, 2000, as Rules 4 and 5,impose the following restrictions :-

97/168 CARBP-414-18.odt ""4. Prior approval of Reserve Bank.- No person shall draw foreign exchange for a transaction included in the Schedule II without prior approval of the Government of India.

Provided that this Rules shall not apply where the payment is made out of funds held in Resident Foreign Currency (RFC) Account of the remitter.

5. Prior approval of Reserve Bank.- Every drawal of foreign exchange for transactions included in schedule III shall be governed as provided therein :

Provided that this rule shall not apply where the payment is made out of funds held in Resident Foreign Currency (RFC) Account of the remitter.""
Schedule III, under Rule 5, in item 8 cover, ""remittance for use and/or purchase of trade mark/franchise in India"".
The earlier provision of obtaining the approval of Ministry of Industry and Commerce for remittances were payment of royalty exceeded 5% on local sales and 8% on exports and lumpsum payment exceeding US$ 2 million was omitted.",,,,37. The Tribunal declines therefore to accept the narrow view of Section 186 for which Mr Coomaraswamy SC contended and prefers the evidence of Mr.Farley QC as to the status of IMAX Limited upon merger to the effect that it is to be regarded as the same company as IMAX Corporation.,,,
,,,,"91. In the LOI, IMAX was supposed to provide maintenance services, training assistance (clause 6 of the agreement), digital services, delivery installation (clause 8 of the agreement, marketing and programming (clause 11 of the agreement) and E-City was to remit the following amount for the aforesaid services;
""Maintenance services/Training Assistance/Marketing and Programming In total an amount of USD 2,20,000 payable for the entire project.""",,,,"In addition, since there is also violation of fair hearing rule, which is also a part of the fundamental policy of Indian law and the process followed by the Tribunal in arriving at the awards, being in violation of the same, I also express that it is in contravention of the fundamental policy of Indian law. I must clarify that the test for contravention of fundamental policy of Indian law, which is applied by me, in no way has touched the review of the matter on merits of the dispute between the parties.
",,,
,,,,"92. The aforesaid clauses in the agreement necessarily contemplated provision of consultancy services procured from outside India and, therefore, required approval of RBI, as 98/168 CARBP-414-18.odt remittances of royalty and payment of lumpsum fee under the technical collaboration agreement,not registered with RBI as well as remittances exceeding US$ 100,000 for consultancy services procured from abroad were covered under Rule 5, which required prior approval from RBI for every drawal of foreign exchange transactions covered under Schedule III.",,,,,,,
,,,,"94. When a statute impose a penalty for contravention of its provisions, any contract entered by contradicting an express declaration in the statute is void, since imposition of penalty 100/168 CARBP-414-18.odt in engaging in a prohibited act is to prevent from something to be done and if a thing is prohibited, doing of that thing is void.

If a Contract is entered to undertake a prohibited act, it would be void ab-initio and would become unenforceable.. If the contract, express or implied, is forbidden by law, definitely no Court shall render assistance to such a Contract. The expression ""public policy"" concerning the agreement relates to the public policy of the country where award is being enforced. Section 23 of the Contract Act, 1872 deals with what consideration and objects are lawful and what not. If the court regards it as immoral or opposed to public policy, in that event, the consideration or object of agreement is said to be unlawful, and any agreement of which the object or consideration is unlawful, is void.

The Contract Act does not define the expression 'public policy or opposed to public policy'. The principles governing public policy are capable of expansion or modification.

Enforcement of the foreign award would be refused on the ground that it was contrary to public policy if such enforcement would be contrary to (1) fundamental policy of Indian Law, (2) interest of India, and (3) justice or morality.

The expression ""public policy of India"" in Section 48(2)

(b) has the same import as that of expression ""public policy"" in Section 7(1)(b)(ii) of the Foreign Awards Act.",,,,,,,
,,,,"95. In the context of challenge to domestic awards, Section 34 of the Arbitration Act differentiates between International Commercial Arbitrations held in India and other arbitrations 101/168 CARBP-414-18.odt in India. So far as the 'The Public Policy of India"" ground is concerned, both Sections, 34 and 48 are now placed on the same pedestal, so that in an International Commercial Arbitration conducted in India, the ground of challenge relating to ""Public policy in India"" would be the same as the ground of resisting enforcement of a foreign Award in India.

In Ssangyong Engg. & Construction Co. Ltd. vs. NHAI ,35 , it is pertinently observed thus :

""41. What is important to note is that a decision which is perverse, as understood in paras 31 and 32 of Associate Builders13, while no longer being a ground for challenge under ""public policy of India"", would certainly amount to a patent illegality appearing on the face of the award. Thus, a finding based on no evidence at all or an award which ignores vital evidence in arriving at its decision would be perverse and liable to be set aside on the ground of patent illegality. Additionally, a finding based on documents taken behind the back of the parties by the arbitrator would also qualify as a decision based on no evidence inasmuch as such decision is not based on evidence led by the parties, and therefore, would also have to be characterised as perverse.""",,,,,,,
,,,,"97. Mr.Seksaria has distinguished the said Judgment and observations in Vijay Karia (supra) by submitting that the Reserve Bank of India in reference to the subject Agreement never granted permission and he would submit that Section 47 which was the thrust of the submission, was a case of 'prior approval' and it was in the facts of the case, the following observations came from the Apex Court :-

""88. This reasoning commends itself to us. First and foremost, FEMA -unlike FERA - refers to the nation's policy of managing foreign exchange instead of policing foreign exchange, the policeman being the Reserve Bank of India under FERA. It is important to remember that Section 47 of FERA no longer exists in FEMA, so that transactions that violate FEMA cannot be held to be void. Also, if a particular act violates any provision of FEMA or the Rules framed thereunder, permission of the Reserve Bank of India may be obtained post-facto if such violation can be condoned. Neither the award, nor the agreement being enforced by the award, can, therefore, be held to be of no effect in law. This being the case, a rectifiable breach under FEMA can never be held to be a violation of the fundamental policy of Indian law. Even assuming that Rule 21 of the Non-Debt Instrument Rules requires that shares be sold by a resident of India to a non-resident at a sum which shall not be less than the market value of the shares, and a foreign award directs that such shares be sold at a sum less than the market value, the Reserve Bank of India may choose to step in and direct that the aforesaid shares be sold only at the market value and not at the 36 2017 SCC OnLine Del 7810 103/168 CARBP-414-18.odt discounted value, or may choose to condone such breach. Further, even if the Reserve Bank of India were to take action under FEMA, the non-enforcement of a foreign award on the ground of violation of a FEMA Regulation or Rule would not arise as the award does not become void on that count. The fundamental policy of Indian law, as has been held in Renusagar, must amount to a breach of some legal principle or legislation which is so basic to Indian law that it is not susceptible of being compromised. ""Fundamental Policy"" refers to the core values of India's public policy as a nation, which may find expression not only in statutes but also time-honoured, hallowed principles which are followed by the Courts. Judged from this point of view, it is clear that resistance to the enforcement of a foreign award cannot be made on this ground.""",,,,,,,
,,,,"98. The Single Judge of Delhi High Court in Cruz (supra) while dealing with the issue of foreign award violating the provisions of FEMA, by referring to Renusagar Power Co. Ltd. Vs. General Electric Co.37 has held that ""The contravention of any provision of an enactment is not synonymous to contravention of fundamental policy of Indian Law. The expression ""fundamental policy of Indian Law"" refer to the principles and legislative policy on which the Indian Statute and Laws are founded. The expression ""fundamental policy""

connotes the basic and substratal rationale values and principles which form the bedrock of values in our country.",,,,,,,
