case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,Conclusion
,,,,"15. Mr. Khambata has submitted that the heading of Section 34 is clear that it deals with 'Administration of rights of an owner by a copyright society'. Thus, it it is somebody else's rights which are being administered and that owner can be an author, employer, proprietor, an assignee or someone who inherits it. Therefore, the copyright society is acting in a capacity similar to a manager/agent while administering the rights of the owner.
",,"45. Mr. Khambata has submitted that if the second proviso to Section 33(1) is clarificatory (as argued by the Defendants), this would mean that the Parliament only wished to clarify this position for underlying works and not for any other works. Therefore even this case as canvassed by the Defendants militates against the interpretation sought to be propounded by them. He has submitted that the Supreme Court in ""Shree Bhagwati Steel Rolling Mills vs. varsha 33 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc Commissioner of Central Excise"".7 at Paragraph 21 held that 'Parliament is deemed to know the law and therefore the fact that the Parliament has amended Section 33(1) in 2012 by adding the second proviso shows that Parliament itself did not think Section 33(1) barred every owner of a copyright from carrying on the business of licensing his works'.","50. Mr. Khambata has submitted that another fact is that the Defendants have no independent right of its own. They are rank infringers. The Defendants have not even attempted to justify their entitlement in exploiting the subject sound recordings and has merely sought to assail Novex's entitlement to seek reliefs on the ground that Novex is not a registered copyright society. Once it is observed that the right to seek relief for infringement is not jeopardized, the relief as sought by Novex must follow. This is clear from a reading of Sections 13, 14 r/w. 51 (a)(i).",,,
,,,,"16. Mr. Khambata has referred to Section 34(1)(a) which deals with the manner in which a copyright society would obtain varsha 20 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc authorization for administration which clearly conveys the intention to include both, the author and other owners of right which would include an 'assignee'. Further, Section 34(1)(b) of the Act contemplates that an author or other owner will have the right to withdraw authorization given to the copyright society. This shows that an author or other owner does not have to carry out the business of licensing his works only through a copyright society. Since, once an owner withdraws its authorization from a copyright society, the owner can independently exercise his rights as he deems appropriate. It could never have been the intention of the legislature that once an author withdraws the authorization from a copyright society then that work cannot be licensed by anyone especially an owner. Such an interpretation would undermine the public interest in making available the copyrighted work to members of the public. In any event the provisions of Section 31, 31A-D would continue to operate to bind all owners to grant compulsory and statutory licenses even after withdrawal of authorization under Section 34(1)(b).
",,"46. Mr. Khambata has submitted that the Division Bench of this Hon'ble Court in the case of Phonographic Performance Limited v. Avion Hospitality Pvt Ltd & Ors. has set aside the view taken by a Learned Single Judge of this Court in ""Phonographic Performance Ltd vs City Organisers Pvt. Ltd."".8 which had accepted the interpretation as sought to be canvassed by the Defendants. The Division Bench in ""Avion Hospitality Pvt. Ltd."" (supra) accepted the interpretation placed by counsel for the Plaintiff on Section 33 read with Section 34 of the Act and had found that the learned Judge's attention was not invited to several provisions of the Act from which it can be construed that the Plaintiff-Novex has locus to file the suit or claim injunction.","57. Mr. Kadam has submitted that one of the objections raised by the Defendant is that PPL cannot sue without joining the owner in respect of the exclusively licensed works. He has referred to Section 54 of the Act, which provides that unless the context otherwise requires, the expression ""owner of copyright""

shall include an ""exclusive licensee"". Further Section 55 provides that where the copyright in any work has been infringed, the owner of the copyright shall be entitled to all such remedies including an injunction. From a reading of Section 55 with Section 54, an exclusive licensee would be entitled as an owner of copyright for the purposes of Chapter XII to institute a Suit and seek an injunction in relation to an infringement of copyright in any work covered by the exclusive license.",,,
,,,,"18. Mr. Khambata has then referred to Section 35 (1) of the Act, wherein it is provided that ""Every copyright society shall be subject to the collective control of the owners of rights under this Act whose rights it administers ...""
",,"47. Mr. Khambata has submitted that the decision of the Madras High Court in ""Novex Communications Vs. DXC Technology Pvt. Ltd."".9 does not assist the Defendant. He has submitted that the Madras High Court in the said decision has erroneously framed an issue whether Novex is entitled to grant licenses or not. The subject matter of the dispute before the Madras High Court was whether DXC Technology was infringing Novex's copyright or not, it wasn't whether 7[2016) 3 SCC page 643 8[Comm. Suit No. 740/2017 dated 21.12.2017 9[2021) SCC online MHC 6266 varsha 34 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc Novex was entitled to grant licenses or not. He has submitted that the Madras High Court had relied heavily upon the reasons for introducing the 2012 amendment, in support of its decision. The Madras High Court held that a careful examination of Section 18, 30 and 33 show that while the right of the owner in his individual capacity is retained, the right to carry on the ""business of issuing and granting licenses"" is taken away on account of the bar contained in Section 33(1) read with the second proviso. The judgment also holds that the word ""only""","74. Dr. Tulzapurkar has submitted that the purported assignment agreements relied upon by the Plaintiffs are void and do not validly transfer actual ownership rights to the Plaintiffs as: (i) they do not identify the ""work"" as required under Section 19(2); (ii) they fall foul of the requirement to specify payment of royalty to authors; (iii) they do not confer actual ownership rights but are designed only to circumvent Section 33(1); and (iv) in case of PPL, there is no assignment/transfer of ownership in respect of 40% of the sound recordings.",,,
,,,,"19. Thus, both Sections 34 and 35 draw a clear distinction between the author/ owner of the right on the one hand and the administrator of that right on the other (i.e. the copyright society) as such has been drawn.
",,"53. Mr. Khambata has submitted that the the Assignment Deeds are extremely specific and meet the requirements of Section 19. The Assignment Deeds categorically state that the ownership rights in the works are being assigned to Novex and there is no mention in the Assignment Deeds of the assignment being for the purpose of doing business in licensing. Therefore, the argument of the Defendants that the assignment is solely for the purpose of doing business in licensing must be rejected.","77. Dr. Tulzapurkar has submitted that PPL and Novex have not filed a simpliciter suit for injunction on grounds of infringement. On the contrary, their entire case is that they are entitled to issue licenses and collect license fees. On this basis, they have sought a limited injunction against the Defendants from playing sound recordings without taking a license from the Plaintiffs. This is evident from the Plaintiffs' own pleadings. He has relied upon Paragraphs Nos. 6,9,11,13,28 and 32 of the plaint in Suit No. 157 of 2023 and Paragraphs Nos. 4, 6, 9 of Legal Notice dated October 4, 2022 issued by Plaintiff's advocate in respect of the alleged infringement at page no. 59 of the plaint in Suit No. 157 of 2023 and Paragraph no. 8 of Legal Notice dated October 4, 2022 issued by 10 Order dated 22nd December 2017 in Commercial Appeal (L) no. 100 of 2017.",,,
,,,,"20. Mr. Khambata has referred to the decision of the Supreme Court in the ""Entertainment Network India Ltd. v. Super Cassette Industries Ltd"".1 He has submitted that the Supreme Court has held that Chapter VII was incorporated into the Act so as to enable an author to commercially exploit his intellectual property through a Copyright Society. A Copyright Society steps into the shoes of the author, it issues licenses on behalf of the author and files litigation on his behalf. The Supreme Court goes on to hold that as per Section 34 of the Act, a Copyright Society is a virtual agent authorized to act on behalf of the owner. Therefore, Chapter VII does not take away the rights of the author/ owner, it only gives a choice to the author/ owner to either exploit its copyright on its own or to exploit its copyright through a Copyright Society. The idea of a Copyright Society is to assist the owner and not take away rights from an owner.

",,"54. Mr. Khambata has accordingly submitted that there is no question of there being any impediment in the Plaintiff's entitlement to the reliefs as sought. Equally, the fact that the Plaintiff is not a registered copyright society does not impair its ability to the reliefs as sought.","83. Dr. Tulzapurkar has submitted that PPL's and Novex's activities fall under Section 33 (1) of the Act and which is apparent from Clauses 3(a), 3(y), 3(z), 3(aa) and 3(ab) of its Memorandum of Association as well as 3.20 and 12 of its Articles of Association. This is also apparent from PPL's Annual Report for the year ended March 31, 2022 which shows that its principal activity is granting 12 [(2016) UKSC 42] varsha 49 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc public performance licenses. Further, a holistic reading of the purported Assignment Deeds relied upon by PPL also points to the fact that PPL is in fact engaged in the business of issuing licenses.",,,
,,,,"21. The Supreme Court has concluded that Section 34 of the Act provides for administration of rights of owners by a copyright 1 (2008) 13 SCC 30 Para 66 varsha 22 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc society for all intent and purport creates a virtual agency so as to enable the society to act on behalf of the owner...(emphasis supplied).
",,"55. Mr. Ravi Kadam, learned Senior Counsel appearing for the PPL has submitted that PPL owns and controls (by Exclusive Licenses) the public performance rights of various music labels which include both, international and domestic recordings. The repertoire of the recordings in which rights are assigned to PPL extend to around 400 labels and more than 45 lakh recordings. PPL issues licenses for public performances / communication to the public of sound recordings on the basis of exclusive rights assigned to it under various assignment agreements by these music labels. He has submitted that PPL has Assignment agreements with 60% of the labels in its repertoire whereby the following rights have been assigned exclusively to PPL. These Agreements can be found on the official website of PPL. Further, he has submitted that with respect to 11 labels, PPL is the 'Exclusive Licensee' of the copyright in the sound recordings. Barring these 11 labels, for all the other labels i.e. 393 of 404, PPL has Assignment Deeds executed for the copyright in the sound recordings.","90. Dr,. Tulzapurkar has submitted that the plain language of Section 33(1) does not exclude owners/assignees. There is nothing in the language to suggest that an assignment from an owner entitles an assignee to carry on the business of licensing to public at large without any regulatory fetters.",,,
,,,,"22. Mr. Khambata has referred to the decision of the The Delhi High Court in the case of Phonographic Performance Ltd. vs Lizard Lounge & Ors.2 The Delhi High Court whilst discussing the role of Copyright Society and the rights that such Copyright Society can exercise observed that the author being the first owner of the Copyright under section 17 can certainly appoint an agent (Copyright Society) to institute legal proceedings. The Delhi High Court held that :-

""24....The Copyright Society may not have exclusive rights inasmuch as the owner continues to simultaneously have rights to deal with his Copyright in the work...
25.....The Copyright Society is an agent appointed under the agreement by the owner of the Copyright and specific powers have been conferred on the agent to institute legal proceedings. The said Act does not contain any provision prohibiting the institution of legal proceedings in derogation to the general law of agency. The author being the first owner of Copyright under Section 17 of the said Act can certainly appoint an agent to institute legal proceedings.
2 (2009) ILR 2 Delhi 726 Para 24-27.
27. ...The creation of Copyright Society is to serve all the three objectives without denuding the author of its own individual rights"" (emphasis supplied)"".",,"67. Mr. Kadam has submitted that if the argument of the Defendants that the 'business' of licensing can be conducted only through a copyright society is to be accepted then, it would only be the Copyright Society who would be in a position to maintain a suit for infringement. The Defendants' have failed to address the issue that no conditions have been introduced in Section 51 and Section 19 for exercise of rights by the Copyright Owner at the time when the Copyright Society chapter was introduced in the Act. He has accordingly submitted that the PPL in the present case has exercised its rights as an owner and is not administering the rights of others. This has been overlooked by the Defendants in their arguments. He has accordingly submitted that PPL by exercising its rights as owner is able to seek reliefs as sought for in the above suits.","96. Dr. Tulzapurkar has submitted that after noticing the problems with the activities of copyright societies introduced by the 1994 Amendment, the Act was further amended in 2012 to incorporate additional provisions for regulation of copyright societies. Elaborate rules were also framed under Chapter XI of the Copyright Rules 2013. He has placed reliance upon the provisions of the Copyright Act and Rules that regulate the business of granting license. He has submitted that it is evident that the Chapter VII of Copyright Act and Chapter XI of the Copyright Rules put in place an elaborate regime to regulate the business of issuing licenses. The Statement of Objects and Reasons to the 2012 Amendment also notes that one of the objects for the amendment was to ""make provision for formulation of a tariff scheme by the copyright varsha 55 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc societies subject to scrutiny by the Copyright Board"". He has also placed reliance upon the 227th Report of the Parliamentary Standing Committee dated November 2010 on the Copyright (Amendment) Bill 2010 that ultimately led to the 2012 Amendments to the Copyright Act. He has submitted that reference to the above material is appropriate and necessary to ascertain the legislative intent behind Chapter VII of the Copyright Act. Such reference to legislative history has been approved by the Supreme Court in ""R. S. Nayak vs. A. R. Antulay"" 26 wherein it was held that the function of the court is to give effect to the real intention of Parliament. These materials are permissible aids to construction and their denial would deprive the court of substantial and illuminating aid to construction.",,,
,,,,"25. Mr. Khambata has submitted that the decision of the Supreme Court in the case of ""K.M. Nanavati v. State of Bombay""3 recognizes the well settled rule of interpretation that two apparently conflicting provisions operating in two different fields should be reconciled, by restricting each to its own object or subject.
",,"68. Dr. Virendra Tulzapurkar, learned Senior Counsel appearing for the Defendants in the above suits has submitted that the prohibition imposed by Section 33(1) applies if the following two conditions are satisfied: (i) Plaintiff is a "" person or association of persons""; and (ii) Plaintiff carries on business of issuing or granting licenses. He has submitted that both PPL and Novex in the above suits are limited companies and therefore, fall within the meaning of ""persons"". He has submitted that there is nothing in the language of Section 33(1) to suggest that the word ""persons"" excludes owners of copyright. On the contrary, ""persons"" as used in Section 33(1) must include owners because Section 33(1) refers to issuing of licenses. Admittedly, only an owner can issue a license under Section 30 of the Act.","100. Dr. Tulzapurkar has submitted that the law clearly seeks to address a mischief, i.e., of a person carrying on the business of varsha 57 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc licensing without regulation. He has submitted that the statute must be interpreted to avoid this mischief by following the Heydon's Rule or mischief rule. He has referred to the following cases on this point:

a. The Supreme Court in ""Godawat Pan Masala Products (I) Pvt. Ltd. & Anr. vs. Union of India & Ors"" 28 it was held that for construing a statute, all sections will have to be read together to ascertain what is the mischief sought to be avoided.",,,
,,,,"26. Mr. Khambata has then referred to the decision in the case of ""Leopold Café & Stores & Anr. Vs. Novex Communications Pvt. Ltd, 4 wherein the Supreme Court has held that the prohibition as contemplated under Section 33(1) is on conducting business of licensing by a person in its own name for works in which 'others' hold Copyright.
",,"84. Dr. Tulzapurkar has further submitted that the clinching factor on this issue is PPL's antecedents. PPL was previously registered as a copyright society under Section 33 of the Copyright Act and admittedly carried on the business of issuing licenses. It applied for re-registration in 2013 but withdrew its application in 2014. It once again applied for re-registration in 2018, which was rejected by the Government on grounds of delay. PPL challenged this rejection before the Delhi High Court. The High Court directed the Government to consider PPL's application on merits. Vide order dated June 9, 2022, the Government rejected PPL's application on the ground that PPL ""has no professional competence to carry on its business and manage its affairs in accordance to the provisions of the Copyright Act 1957 and Copyright Rules, 2013 "". Pertinently, PPL has been carrying on exactly the same business of issuing licenses and collecting license fees. More importantly, the very fact that PPL was previously registered as a society and continued to fight for registration shows that PPL itself is aware that registration is required to carry on the business of licensing.","109. Dr. Tulzapurkar has submitted that the First Proviso to Section 33(1) does not exempt PPL and Novex from the prohibition of Section 33(1). Apart from claiming to be owners, PPL and Novex have not satisfied the conditions of the Proviso viz. (i) Person is an varsha 61 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc owner of Copyright; ii) Person is acting in his 'individual capacity';",,,
,,,,"necessary to note the heading of Section 33 which is ""Registration of copyright society"". He has submitted that the heading of a section can be used to interpret the object and purpose of a Section. It is well settled that the headings of sections are substantive parts of the act and limit or explain their operation. He has placed reliance upon the decision of the Supreme Court in ""K.M. Nanavati"" (supra) which is the authority for this proposition. He has also referred to the heading of Section 34 of the Act which is ""Administration of rights of owner by copyright society"". He has submitted that Sections 33 and 34 of the Act must be read as respectively restricted to the subject described by these headings. Therefore, if a copyright society wants to do the business of issuing licenses, then it must do so as per the provisions of Section 33; this is all that the section contemplates. It cannot purport to curtail the owner's right to license given under Section 30 falling under Chapter VI of the Act.
",,"125. Mr. Narula has submitted that the legislative intent to remove the basis of the Supreme Court Judgment in ""Indian Performing Rights Society vs. Eastern India Motion Pictures Association""40 and provide independent and non-assignable and non- waivable right of the authors can be best understood from four paragraphs of the Report of the Standing Committee, 227 th Report on Copyright ( Amendment) Bill, 2010. These are paragraphs 9.14 to 9.16 and 9.18 of the Report.","111. Mr. Tulzapurkar submitted that it is the contention of PPL and Novex that Section 33(1) is not a prohibition at all and that copyright facilities were merely a facility and option created for the benefit of owners. They have further contended that the 1994 Amendments to the Copyright Act introduced the concept of copyright societies for the first time as facility for owners by enacting Section 33(1). These contentions are plainly incorrect. He has submitted that copyright Societies existed long before the 1994 Amendment. In fact, PPL was founded in 1941 and has been 37 [(1976) 1 SCC 128] 38 [(2018) 14 SCC 161] varsha 62 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc carrying on the same business ever since. The facility of collective management was always available to owners even prior to 1994. Till 1994, there was no regulation on the business of licensing. Section 33(1) that was introduced by the 1994 Amendment brought copyright societies within the regulatory purview and mandated that the business of licensing should only be carried out through a registered entity. He has submitted that the material relied upon through the course of the hearing including the Supreme Court's decision in ""Entertainment Network"" 39, the Parliamentary Debates and extracts from Copinger make it amply clear that the object of copyright societies is not just to promote rights of owners but to balance it with public interest by protecting the interests of users.",,,
,,,,"29. He has placed reliance upon the decision of the Supreme Court in ""Godavat Pan Masala Products I.P. Ltd. vs. Union of India"" 5. The Supreme Court has held as under:

""It is an accepted Canon of Construction of Statutes that a statute must be read as a whole and one 5(2004) 7 SCC 68 Para 29.
varsha                                                                         26 of 87




 Varsha                                               COMP-264-2022 AND COMP-363-2019 final.doc


                   provision of the Act should be construed with
reference to other provisions of the same act so as to make a consistent, harmonious enactment of the whole statute. The Court must ascertain the intention of the legislature by directing its attention not merely to the Clauses to be construed but to the Scheme of the entire statute. The attempt must be to eliminate conflict and to harmonize the different parts of the statute for. It cannot be assumed that Parliament had given by one hand what it took away by the other. (emphasis supplied).
The same principle has been enunciated by the Constitution bench of the Supreme Court in K.M. Nanavati's (Supra).",,,115. Dr. Tulzapurkar has submitted that there is no valid assignment in favour of the PPL and Novex and thus this cannot be the basis for a suit filed by the Plaintiffs in their capacity as assignees.,,,
,,,,"30. Mr. Khambata has submitted that applying these principles, the only interpretation and the way to look at the term 'business' that harmonizes Section 33 with the other sections in the Act would be to construe business as ""business of trading or granting licenses in respect of works which are not owned by such person"" as held by this Court in ""Leopold Cafe"" (Supra). The meaning of ""business"" has to be necessarily such that would not cause violence to other provisions of the Act including Sections 18, 19, 30 and 34.
",,,116. Dr. Tulzapurkar has submitted that the argument of PPL and Novex is that the second proviso to Section 33(1) uses the word 'business' and applies only to owners of underlying works. The consequence must be that owners of sound recordings such as PPL and Novex are entitled to carry on business without regulation.,,,
,,,,"32. Mr. Khambata has referred to the definition of Copyright under Rule 2 (c)of the Copyright Rules, 2013. He has submitted that this definition is in wide terms although it also references sub-section (3) of Section 34, which deals with functions that a copyright society may perform qua works of others. He has submitted that definition in Rule 2(c) in any event applies only to the rules. It cannot be applied to interpret Section 31(1), a provision of the primary statute and one that came 19 years before Rule 2(c). He has submitted that if the term ""business"" is given the wide meaning, then, there would necessarily be a conflict between Section 30 and 33 of the Act.
",,,"117. Dr. Tulzapurkar has submitted that this argument is highly flawed. He has submitted that the second proviso is of no relevance to the present matter as it only applies to underlying works incorporated in films or sound recordings. Sound recordings, that are the subject matter of the present dispute, are directly covered by the main enacting provision, i.e., Section 33(1) which refers to ""any work in which copyright subsists"". Thus, the prohibition against owners of sound recordings from carrying on business except through a copyright society can be found in the main section itself without any reference to the second proviso.",,,
,,,,"33. Mr. Khambata has submitted that in any case, the Rules are a piece of subordinate legislation. They cannot be considered to control the provisions of the Act especially if they cause conflict or absurdity in reading of the substantive provision of the Act.
",,,"121. Mr. Hiren Kamod and Mr. Amit Jamsandekar, amongst other Counsel have made submissions for the Defendants in their respective Suits which are in support of the submissions of Dr. Tulzapurkar, and in line with his submission.",,,
,,,,"35. Mr. Khambata has submitted that the contention of the Defendants that the later provision i.e. Section 33 would prevail over an earlier provision i.e. Section 30 of the Act has become obsolete in England. Even under Indian law the Supreme Court in K.M. Nanavati's case (supra) made it clear that the rule is to be applied along with several other rules. The Supreme Court has treated the rule of the later provision as one amongst a basket of rules which must operate together with other rules and which moderate and temper each other. It cannot be said that this last rule supersedes every other rule and the only thing that matters for harmonizing or resolving ambiguity is to see which is the latter provision as sought to be argued by the Defendant. The Supreme Court has also held that if there is a conflict between two provisions of a statute then it has to be determined which is the leading provision and which is the subordinate provision and which provision must give way to the other. If this test is applied the positive clear provision conferring statuary rights upon an owner to grant license is Section 30. Section 33(1) does not deal with owner's right of licensing.
",,,"122. Mr. Rajiv Narula has made submissions on behalf of the Defendants in Commercial Notice of Motion No. 331 of 2019 in Commercial Suit No. 117 of 2019. He has supported the submissions of Dr. Tulzapurkar on interpretation of the relevant provisions of the Copyright Act including Section 33 and its Proviso. He has placed reliance upon the legislative debate which had also been relied upon by the Madras High Court in ""Novex Communications Vs. DXC Technology Pvt. Ltd"". (supra). He has in particular has placed reliance upon Paragraph Nos. 38 to 40 and 42 of the said judgment. He has also referred to the 227 th Report on Copyright (Amendment) Bill, 2010 by the Parliamentary Committee.",,,
,,,,"36. Mr. Khambata has submitted that interpretation leading to unreasonable results must be eschewed. He has in this context placed reliance upon the decision of the UK Supreme Court in "" Gill v Donald Humberstone & Co. Ltd"".6 In the said decision the UK Supreme Court has elucidated the principle that if the language of a section is capable of more than one interpretation then, the Court should avoid natural meaning if it leads to an unreasonable result.
",,,"127. Mr. Narula has submitted that the insertion of the definition ""copyright society"" and ""Chapter VIII-Copyright Society""

and the deleting the term ""performing rights society"" is reflected from 1992 Bill. This was in order to widen the scope of collective administration consistent with Clause 11 of the Bill 1992 Bill. He has referred to Clause 2 of the Notes on Clauses of the 1992 Bill in this context. Therefore, the copyright society was not only for the benefits of authors and owners, but also for the general public/users (like the defendants) for whom it is not convenient to obtain licenses.",,,
,,,,"37. Mr. Khambata has submitted that the Defendants interpretation on 33 (1) must be eschewed as it will lead to absurd and unreasonable results. If such interpretation is accepted on withdrawal of authority by the owner from the registered copyright society (as is permissible under Section 34(1)(b)) no one will be able to license the work- not even the owner himself. The first proviso to Section 33(1) will place the owner who is a member of a copyright society in a better place (i.e. being able to license) then one who had never been a member at all (who could not, on the Defendants' interpretation, license its own work).
",,,,,,
,,,,"38. Mr. Khambata has referred to the first Proviso to Section 33(1) which recognizes right of an owner to grant licenses even after such owner becomes a member of a registered Copyright Society. The only embargo in such a case is that the owner can grant a license consistent with its obligation qua such registered society. He submitted that what flows from the first proviso to Section 33 is that if as a member of a copyright society an owner can license his own works, 6[1963] 1 WLR 929 varsha 30 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc surely a non-member cannot be prevented from licensing his own works.
",,,,,,
,,,,"occurring in the second proviso can be done only through a registered copyright society.
",,,,,,
,,,,"48. Mr. Khambata has submitted that the Madras High Court has in the said decision misconstrued the judgment of this Court in the case of Leopold (supra) and completely misapplied the ratio contained therein. The Madras High Court failed to appreciate that in Leopold (supra), Novex was merely an agent acting on behalf of undisclosed principle (which this Court held was prohibited by Section 33). The Madras High Court has conflated the first and the second proviso to Section 33(1) and applied its interpretation of the second proviso which deals with the authors of the underlying works to the first proviso which deals with assignees/ owners of the entire sound recording.
",,,,,,
,,,,"56. Mr. Kadam has placed reliance on the relevant definitions under the Copyright Act namely Section 2(d) which defines Author; Section 2(f) which defines Cinematograph film;
",,,,,,
,,,,"Section 2(ff) which defines Communication to the public; Section 2(j) which defines Exclusive licence; Section 2(uu) which defines Producer; Section 2(xx) which defines sound recording; Section 2(y) which defines work and Section 2(ffd) which defines Copyright society. He has also referred to relevant provisions of the Act which includes Sections 13, 14, 17, 18 ,19, 30 and 33.
",,,,,,
,,,,"58. He has further referred to Section 61 of the Act which provides Owner of copyright to be party to the proceeding. He has submitted that in the present case, the infringement by failure to obtain license by the various Defendants is not only in relation to works of which the Plaintiff/PPL is an exclusive licensee but also in respect of works of which it is itself an varsha 39 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc owner. Thus and for that reason, Section 61(1) would not apply.
",,,,,,
,,,,"60. Mr. Kadam has submitted that upon reading of the aforementioned provisions of the Act, when an owner is monetizing copyright in any work, the owner is doing so for gain or for profit. Regardless of the scale at which such activity resulting in monetization of copyright takes place, it is a commercial or a business activity as it is being done for gain. Any restriction or curtailment of exercise of ownership rights whether by self- exploitation; assignment; license, depending upon scale or motive/manner of exercise or regularity of exercise of such ownership rights would be reading into the Act facets or nuances relating to the primary right of ownership of a copyright, which the Act does not in its language provide for at all.
",,,,,,
,,,,"61. Mr. Kadam has placed reliance upon provisions of the Bern Convention (1896), to which India is a signatory and particularly Article 2 (6), which provides that the protection of works mentioned in this Article shall shall operate for the benefit of the author and his successors in title. Article 5 (1), which provides varsha 40 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc that Authors shall enjoy, in respect of works for which they are protected under this Convention, in countries of the Union other than the country of origin, the rights which their respective laws do now or may hereafter grant to their nationals, as well as the rights specially granted by this Convention. Further, under Article 5(2) it is provided that, the enjoyment and the exercise of these rights shall not be subject to any formality; such enjoyment and such exercise shall be independent of the existence of protection in the country of origin of the work. Further Article 9, which is Right of Reproduction, provides that Authors of literary and artistic works protected by this Convention shall have the exclusive right of authorizing the reproduction of these works, in any manner or form. It shall be a matter for the legislation in the countries of the Union to permit the reproduction of such works in certain special cases, provided that such reproduction does not conflict with a normal exploitation of the work and does not unreasonably prejudice the legitimate interests of the author.
",,,,,,
,,,,"63. Mr. Kadam, has supported the submissions of Mr. Kambata as to the interpretation of Chapter VII of the Act brought by the 1994 as varsha 41 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc well as 2012 Amendments, by which the second proviso to Section 33(1) was added. He has submitted that the embargo or prohibition on a person or association of persons commencing or carrying on the business of issuing or granting licenses in respect of any work in which copyright subsists other than by registering such association of persons as a copyright society [Section 33(1) r/w Section 33(3)] has no application to the issuing or granting of licenses in respect of any work by an owner or by an exclusive licensee who by the terms of the exclusive license is entitled to issue further licenses in respect of the work. This interpretation is supported by the provisions of the Act pertaining to ownership analysed. It is also in consonance with the first proviso to Section 33(1). This proviso clarifies that an owner of copyright shall in his individual capacity, continue to have the right to grant licenses in respect of his own works.
",,,,,,
,,,,"64. Mr. Kadam has submitted that there is nothing in the language of Chapter VII or the relevant rules appearing in Chapter XI of the Copyright Rules 2013 that mandates or forces owners who may in a given case own copyright in a large repertoire of sound recordings to become members of a registered copyright society. He has also placed reliance in this context on Section 34(1)(b) of the Act.
",,,,,,
,,,,"65. Mr. Kadam has further submitted that the expression in his individual capacity appearing in the first proviso to Section 33 has nothing to do with whether the owner of copyright in a sound recording is granting licenses on a small or large scale so as to constitute such activity as a business. The expression 'capacity' when used in the varsha 42 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc context of a particular status applies where a person enjoys two statuses simultaneously. He has supported this interpretation placed by Mr. Khambata on the first proviso to Section 33 (1) in this context.
",,,,,,
,,,,"66. Mr. Kadam has submitted that the decision of the Madras High Court in ""Novex Communications Pvt. Ltd. Vs. DXC Technology Pvt. Ltd"" (supra) has overlooked Section 30 which only speaks of the owner's rights to license and does not talk about any capacity or does not talk about whether the activity is done at an individual level or as a business. He has submitted that the Madras High Court has completely lost sight of the phrase individual capacity appearing in the first proviso to Section 33(1), applies in the context of that proviso where the owner of a copyright in a work becomes a member of a Registered Copyright Society for that category of works. This subjectivity of 'individual capacity' transcending into the realm of business is a notion introduced by the judgment and brings about a whole world of uncertainty and ambiguity in the application of the provisions of the Act in paragraph 55. Further, the Madras High Court has concluded that the entity like the plaintiff therein which is involved in the business of issuing licenses falls within the net of the second proviso of Section 33 (1). There is no reasoning as to how the granting of licenses in respect of sound recordings which is not covered by the second proviso of Section 33(1) would take the activity of the Plaintiff within that second proviso.
",,,,,,
,,,,"varsha                                                                        43 of 87




 Varsha                                            COMP-264-2022 AND COMP-363-2019 final.doc",,,,,,
,,,,"69. Dr. Tulzapurkar has submitted that since there is no ambiguity in the language of the section, the first rule of statutory interpretation, i.e., of literal interpretation, would demand that the word ""persons"" be given its natural grammatical meaning without any artificial limitations or restrictions.
",,,,,,
,,,,"70. Dr. Tulzapurkar has submitted that Section 33(1) prohibits ""any person or association of persons"" from carrying on the ""business of issuing or granting licenses"" without registration as a copyright society. PPL and Novex as aforementioned are covered by Section 33(1) as they are clearly ""persons"" as well as carry on a commercial activity that qualifies as ""business"".
",,,,,,
,,,,"71. Dr. Tulzapurkar has submitted that Section 30 and Section 33(1) operate in separate fields and do not conflict which each other. While Section 30 deals with the general right of an owner to grant a license, Section 33(1) regulates the business of licensing. The law is plain and clear - an owner has the right to issue a license. When his licensing activity enters the realm of ""business"", he is subject to statutory regulation under Chapter VII and must carry on his activities either by seeking registration as a copyright society or by doing it through a registered copyright society. Assuming without admitting there is a conflict, even then Section 33(1) is a special provision and must prevail over the general one. Moreover, the object of copyright law and legislative intent behind Chapter VII is to balance the rights of owners and public interest by varsha 45 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc protecting the rights of users. This would mean owners too are covered by Section 33(1).
",,,,,,
