case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,Conclusion
,,"27/168 CARBP-414-18.odt The stand of the E-city is very specific, being the Agreement to be void, since it is prohibited under FEMA and thus the Awards in favour of the Petitioner and against E-City are unenforceable under Section 48(2) of the Act of 1996, being violative of public policy of India.","18. By inviting our attention to the sequence of events, when this Court condoned the delay in the Notice of Motion filed by E-City, in a Petition filed under Section 34, a Special Leave Petition was filed by IMAX before the Apex Court, challenging the order dated 10/06/2013 and though the Apex Court stayed the proceedings under Section 34 of the Act, and it is on 21/168 CARBP-414-18.odt 10/03/2017, the proceedings filed by E-City under Section 34 were held to be not maintainable.","23. I have been taken through the provisions of FEMA, its object being to protect Indian economy from loss of foreign exchange and in not permitting foreign exchange to be repatriated outside India, in until certain mandatory conditions are satisfied and it is in the scheme of the statute, it is submitted that unless permission was accorded by RBI, the subject Agreement did not constitute lawful contract under the Indian Contract Act, 1872, as despite applying for permissions, such permissions were never granted.",,"35. By inviting my attention to the position of law emerging from the various authoritative pronouncements, Mr.Jagtiani has submitted that Respondent No.1 was incorporated in the year 1999 and the Master Agreement was entered with the Petitioner on 28/09/2000, with a limited object to be achieved and it was essentially a holding company, holding the shares of various entities. On the date on which the Master Agreement was entered into, Respondent No.4 was not even in existence and, therefore, it is not a signatory thereto. Until the Enforcement Petition was filed, it was not made a party to any of the proceedings instituted by the Petitioner, including its application for recognition of Awards, which was filed before the Supreme Court of Justice Ontario, Canada as well as the application for enforcement filed before the Supreme Court of the State of New York and also the Execution Application No.49 of 2017, but it is for the first time, Respondent No.4 is impleaded in the proceedings on the pretext that Respondent No.4 hold shares in Respondent Nos.1 to 3 and the overlapping identity of the Directors of Respondent No.1 and Respondent No.4 by holding it responsible for the alleged fraudulent act of moving assets from the Respondent No.1 to Respondent Nos.2 and 3, by way of scheme of demerger and by piercing the corporate veil of Respondent No.1 and Respondent No.4, an attempt is made to make it liable for debts of Respondent No.1.","61. On the present Petition being filed, the Respondents raised a preliminary objection of it is being barred by limitation and on 13/11/2019, the objection was held to be not sustainable, by holding that Petition filed by IMAX is within the prescribed period of limitation.","38. The case of the Respondent in the Statement of Defence in relation to clause No.3 of the LOI is to the effect that the said clause was merely preface to the future negotiations and it therefore, did not create and legal binding relations between the parties.",,ISSUE NO.E Whether the Petitioner can raise challenge to the de-merger scheme ?
,,"Despite conceding to the fact that the Company Court is a Court of competent jurisdiction, still inviting this Court to unravel the demerger process and effectively invalidate the orders on the ground of alleged fraud, which is also hanging in air, according to Mr.Seervai, the Petition alongwith the grounds set out, is untenable. It is also his submission that though the pleadings in the Petition are based on Group Company Doctrine, but during the course of argument, the said stand is given up, in the wake of the prevailing situation.","According to Mr.Seksaria, the learned single Judge of this Court, while deciding the preliminary issue of limitation on 13/11/2019 had declared that the period of limitation available was 12 years, but it is his submission that the order passed by the learned Single Judge is wiped from its existence and in any case does not operate as res judicata or issue estoppel. Since mere filing of Petition under Section 34 did not operate as automatic say of an Arbitration Award, Mr. Seksaria would submit that E-City Entertainment filed Special Leave Petition against order dated 13.11.2019 before the Supreme Court, which granted interim order staying the Judgment dated 13/11/2019, on 10/01/2020.","In the wake of the scheme of Part II of the Arbitration and Conciliation Act, 1996 and, in particular, Sections 44 and 45 and Sections 47 and 48, it is his specific submission that the proceedings for recognition and enforcement of Award cannot lie against Respondent Nos.2 and 3. Emphasising upon the cardinal principle underlying the aforesaid provisions, it is his contention that the award is against Respondent No.1 and a bare look at Section 48, which has set out the conditions for enforcement of foreign awards, the emphasis is on the words, ""party against whom it is invoked"" and the enforcement of a foreign award may be refused, at the request of the party against whom it is invoked, only if that party furnishes to the Court a proof of circumstances set out in the provision and in the wake of the argument advanced by the learned senior counsel Mr.Chinoy, Mr.Seervai has described the impleadment of Respondent Nos.2 and 3 as nothing but misuse of the proceedings, as Respondent Nos.2 and 3 are no less than a stranger, as they were not party to arbitration proceedings nor there exists an Award against them.",,"By inviting my attention to the pleadings in the Petition pertaining to the purported fraud attributed to Respondent No.4, Mr.Jagtiani has submitted that the case of the Petitioner merely rest on bare statement that there was fraud and there is reference to the commonality of the shareholding and 43/168 CARBP-414-18.odt Directorship and, therefore, Respondent No.4 should be made liable. But, since the Petitioner has failed to discharge the burden of establishing fraud, against the shareholders of Respondent No.4's promoters, which is more essential in post- award proceedings, the Court shall not oblige it by piercing the veil only on the basis of stray, bare and unsubstantiated averments. It is therefore pleaded by Mr.Jagtiani that the Chamber Summons filed by Respondent No.4 should be allowed and its name be struck off from the Petition.","It is well settled principle that the law aids those who are vigilant in invoking the remedies available to them within the prescribe time-lines and not to those, who sleep over their rights.","E-City, in its Statement of Defence, also placed on record the correspondence exchanged with the Control Department of the Reserve Bank of India of Bombay, seeking approval to make the necessary remittances, which resulted in the Bank writing to the General Manager of Exchange Control Department of the RBI, requesting permission to accede to E- City's request for remittance of US$ 3,00,000 towards first tranche in token of the acceptance in view of the arrangement proposed to be entered with the overseas party.",,131/168 CARBP-414-18.odt
,,"A reference is also made to the agreement entered into on 20/12/2000 between IMAX and Electronic Media Limited (EML) being a Purchase Agreement and a Maintenance Agreement for IMAX Theatre Systems and it alleged that IMAX and EML, parts of the same group as E-City, had agreed that the agreement would be terminated once IMAX and E- City executed similar agreements, which were never entered into.","22. My attention is also invited to the evidence that has come before the Tribunal though it is the grievance of Mr. Seksaria that the partial Final Award on jurisdiction and quantum passed by the ICC, Tribunal on 24/08/2007 did not take into consideration the material issue raised i.e. without RBI approval the Agreement was unenforceable and illegal in India.","30/168 CARBP-414-18.odt Since the Award is only against Respondent No.1-E-City Entertainment (I) Pvt. Ltd., its enforcement and recognition shall only be restricted to the party to the award, is his emphatic assertion.",,"36. From the rival contentions advanced for the contesting parties through the respective counsel, I can infer the genesis of the dispute, since IMAX in its statement of case in arbitration, alleged breach of agreement dated 28/9/2000 and sought recovery against Respondent, E-City Entertainment (L) Pvt Ltd (""E-City"") alleging its breach.","It was further clarified that the meaning of the term would no longer sustain, because under the guise of interfering with an Award on the ground that the Arbitrator did not adopt a judicial approach, the Court's intervention would be touching the merits of the Award, which was impermissible post the 2015 amendment.","The above jurisdictional issue was concluded by accepting the opinion of Mr.Farley Q.C, with reference to the Canada Business Corporation Act and in particular, Section 186 thereof, and the Tribunal accepted the view that having regard to the substantive law on continuance and amalgamation, the Ontario Courts would regard the amendment of the title of action as a matter of form, not substance, and the Court would allow amendments to pleadings at any stage of an action, unless prejudice would result that would not be dealt with cost or adjournment. By concluding that in the interest of justice, the case required the name of the claimant to be changed from 'IMAX Limited' to 'IMAX Corporation', to reflect that position under the Canadian Law, the Tribunal declined to accept the narrow view of Section 186, which was advanced on behalf of the respondent and preferred the evidence of Mr.Farley Q.C as to the status of IMAX Limited upon merger to the effect that it be regarded as the same Company as IMAX Corporation.
",,134/168 CARBP-414-18.odt
,,"An Award of damages was sought in this amount, together with contractually agreed interest at the prime commercial rate of interest in Canada plus 2% per annum from the date of the Award.""","Submitting that the Arbitral Tribunal was not alive to the necessity of deciding the issue whether the Agreement was prohibited by law and has presumed and opined in the quantum award by recording the following in Para 56 :-

""Accordingly, the Tribunal finds that there is no evidence that there would have been difficulty with the RBI giving the necessary permission.""","Mr.Jagtiani has joined hands with Mr.Seervai in submitting that under Part II of the Arbitration and Conciliation Act, 1996, foreign awards are only binding upon the parties to the arbitration proceedings and he has taken me through the whole scheme of Part II and the position that emerges therefrom, specifically by reading of Section 46, which categorically stipulate that the foreign award would be binding for all purposes on the persons as between whom it was made and Section 49, which casts an obligation upon the Court to satisfy itself that the foreign award under consideration before it, is enforceable under Chapter II and this would necessarily contemplate that the Court would have to satisfy itself that exception to the enforcement, as set out in Section 48(1) of the Arbitration Act are not attracted to the foreign award, since otherwise the Court would be bound to refuse enforcement.",,"The observations in relation to Article 137, on reading of the entire order dated 13/11/2019, are only incidental and non-essential observations as, the objection raised by E-City was specifically premised on the ground that the petition is time barred considering the provisions of Article 137 of the schedule to the Limitation Act, which was a residuary Article prescribing period of limitation to be 3 years. While deriving a conclusion that since the foreign award amounts to a decree and therefore, would be governed by Article 136, the submissions advanced on behalf of the petitioner, by way of an alternative limb that even assuming that the provisions of Article 137 are applicable, the Petition is nevertheless within prescribed limitation was also tested.","On the facts of the case it was held that simplicitor violation of any provision of FEMA , unlike violation of FERA, shall not be considered synonymous to offending the policy of Indian Law.","53. The scope of Section 48 Chapter II of the Arbitration and Conciliation Act, 1996 relating to enforcement of certain foreign awards, in Chapter I pertain to the New York Convention awards. Upon the evidence produced by a party 59/168 CARBP-414-18.odt seeking enforcement of a foreign award, in form of the original award or copy thereof, duly authenticated in the manner required by the law of the country in which it is made or the original agreement for arbitration or a duly certified copy thereof and such evidence, as may be necessary, to prove that the award is a foreign award, the Court before which the evidence is produced, may enforce the award. But, it may refuse the enforcement, if the party furnishes to the Court the proof about the existence of the circumstances stipulated in Section 48(1)(a) to (e).",,Necessity of impleading Respondent Nos.2 to 4 in the petition seeking enforcement and execution of the Arbitral Awards.
,,"39. The contest between the parties before the International Court of Arbitration, Chamber of Commerce resulted into the first award captioned ""Partial final award on jurisdiction and quantum'' which flagged the issue of jurisdiction raised by the respondent E-City and the claim for damages made by the claimant on which oral submissions and evidence was presented before the Tribunal.",SUBMISSIONS ADVANCED ON BEHALF OF RESPONDENT NOS.2 AND 3,"Mr.Jagtiani find a clear indicator of the legislative intent, to recognise the foreign award as binding only on the parties 38/168 CARBP-414-18.odt between whom it is made, by comparing the language of Section 46 (Part II) and Section 35(Part I) of the Act of 1996 and he would submit that whilst the finality ascribed to the foreign award under Section 46 is only between the parties to the arbitration proceeding, the finality ascribed to awards under Part I is significantly wider, as the awards made thereunder are held to be final and binding on not only the parties to the arbitration proceedings, but also on the parties claiming under them.",,"The travel company defended, but did not require the expert to attend cross-examination and also do not lead any evidence on its own and its counsel argued and persuaded the Judge that deficiencies in the expert's report meant that claimant had failed to prove its case on balance of probabilities.","E-City could not have made any payment without RBI's approval, as this condition was part of the agreement and even IMAX had acknowledged that the structure of the transaction is contingent upon the approval of the RBI. If IMAX would have made payment, it would have been illegal and in violation of the Regulations operating in the country and, since, the agreement was contingent upon the remittances being made 116/168 CARBP-414-18.odt with the approval of the RBI, the exposition of law emerging from the National Agricultural Co-Operative Marketing Federation of India (supra) squarely apply to the case of the Petitioner, where the award was held to be unenforceable because the Indian law is not followed.","55. Section 47 of the Act contemplates the evidence to be produced by a party seeking enforcement of a foreign award and the requirement stipulated under sub-section (1) are procedural in nature, introduced in the statute with an object that the Court from whom the enforcement is sought, must be satisfied that the award produced before it for enforcement, is a foreign award, as defined and that it is enforceable against persons, who are bound by the award.",,"The Quantum Award dated 24/8/2007 awarded damages along with the interest, whereas the final award dated 27/6/2008 computed the actual amount payable to the petitioner by segregating it as per the timelines of payment of interest."
,,"40. As far as the second issue about damages is concerned, the claim of IMAX focused principally on the revenue, which it 48/168 CARBP-414-18.odt could have earned from the six agreements, was accepted as the basis and by deciding its claim for interest along with the mitigation of damages raised by E-City, the Tribunal awarded a sum of US$ 9,406,148.31 as calculated in the award to be paid by the respondent to the claimant IMAX Corporation. It was also directed that the claimant shall pay the interest on the said sum at the Canadian Based US Dollar rate plus 2% and the parties shall endeavour to agree the dates from which the interest should run. In addition, the cost of an incidental to be assessed by the Tribunal, upto the date of final partial award, was also directed to be paid.",SUBMISSIONS ADVANCED ON BEHALF OF RESPONDENT NO.4.,"28. In the course of his arguments, Mr.Seervai has taken us through several pronouncements from the Apex Court and the High Courts in support of his submission that IMAX's allegations of fraud are without merits and it is not open for it to now allege that the order of demerger of the competent Court shall be ignored and overreached, since if there was any fraud, it was open to IMAX to challenge the demerger orders and having not done so, by way of collateral proceedings, the attack is now mounted. In addition to the aforesaid argument, Mr.Seervai has also raised a point that the Petition is barred by limitation and has referred to the earlier order passed by this Court, when the issue of limitation was agitated by E-City Entertainment and the proceedings were disposed off by order dated 13/11/2019 by the learned Single Judge, by recording a finding that the enforcement/execution proceedings were within limitation on account of the application of Article 136 of the Schedule to the Limitation Act, 1963 and this order was assailed before the Apex Court, when the challenge was not entertained and the review thereof was also dismissed on 16/08/2023.",,,"However, this statement is not as regards E-City as per the agreement, but was a general statement, as the subject agreement was for lease and not for sale.","It is with this intention that the legislature has conferred the right to object to the enforcement of an award at the instance of the party against whom it is invoked and, since, the grounds on which the objection can be raised, are clearly stipulated by the legislature, and speak of incapacity of parties and the agreement to be invalid under the law to which the parties have subjected it, an attempt to bring non-parties within this ground has been described to be trying to fit a square peg in a round hole.",,"131. Mr.Chinoy, who seek recognition and enforcement of the deemed decrees of the three foreign awards made in the ICC Arbitration held in London, U.K., concede to the fact that Respondent Nos. 2 to 4 were not the parties to the arbitration proceedings and are also not award/judgment debtors."
,,"The present Petition, by invoking Sections 47, 48 and 49 of the Act of 1996, is filed by IMAX, not only against E-City Entertainment (I) Pvt. Ltd. but also other three Respondents on 28/03/2018.","Mr.Jagtiani has placed before the Court the shareholding pattern of Respondent No.1 pursuant to the demerger, which reflect that Respondent No.2 possessed 62.875% of shareholding, whereas Respondent No.4 had 37.121% shareholding in Respondent No.1, whereas one Amit Goenka had the shareholding of 0.004%.","33. Necessity of piercing the corporate veil and making those behind the veil i.e. shareholders liable for the debts of the company, according to Mr.Jagtiani, must meet a very high threshold and the standard to be met for permitting piercing the corporate veil as laid down in Balwant Rai Saluja & Anr. Vs. Air India Limited & Ors.22 is once again relied upon by Mr.Jagtiani. In addition, he has also placed reliance upon the decisions of the Apex Court in Indowind Energy Ltd. Vs. Wescare (India) Limited & Anr.23 and Vodafone International Holdings BV Vs. Union of India & Ors. 24, where the parameters of piercing the corporate veil are set out.

Even Mr.Jagtiani has reiterated the argument that fraud is not the magic mantra to vitiate any transaction, as fraud must be pleaded in detail, with material particulars being divulged as Order VI Rule 4 of the Code of Civil Procedure, 1098 requires a party to give material particulars in cases, where misrepresentation, fraud is alleged and in fact, several courts from time to time have held that the threshold for meeting a case of fraud is extremely high, as in any proceedings, not only the plea of fraud is required to be specifically pleaded, but also proved.

The principle laid down in Bishnudeo Narain & Anr.. Vs. Seogeni Rai & Anr.25, followed the decision in the case of Union of India Vs. Chaturbhai M. Patel & Co. 26, is invoked by Mr.Jagtiani.

22 (2014) 9 SCC 407 23 (2010) 5 SCC 306 24 (2012) 6 SCC 613 25 AIR 1951 SC 280 26 (1976) 1 SCC 747 41/168 CARBP-414-18.odt",,,"127. Respondent/E-city has specifically opposed the Petition on the ground that the Petitioner has assailed the demerger scheme and a specific stand is adopted in the reply filed by it that the Petition is filed to enforce the foreign award not only against Respondent No.1, but against Respondent Nos.2 to 4 on the premise that the demerger scheme by which assets of Respondent No.1 were validly and legally transferred in favour of Respondent Nos.2 and 3 are alleged to be fraudulent transfers, in order to defeat the foreign awards in its favour.","During this period, IMAX did not file any application for enforcement of the foreign award, but it chose to pursue the execution proceedings before the Court in Canada and USA.",,It is necessary to note the sequence of incorporation of the Respondent Nos. 2 and 3 and as to how the schemes of De- merger operated.
,,,36/168 CARBP-414-18.odt,"34. Referring to the observations of the Apex Court in the case of Chloro Controls India Pvt. Ltd. Vs. Severn Trent Water Purification Inc. & Ors.27, when the Hon'ble Supreme Court pronounced upon an issue as to whether a party could invoke arbitration in respect of an arbitration agreement to which it was not a signatory; and if it can do so, the parameters within which such invocation would be invalid, Mr.Jagtiani has clarified that Chloro Controls India Pvt. Ltd. was rendered in the context of an expressed statutory provision in Part II to extend the arbitration agreements to non-signatories, namely, Section 45 of the Act. According to him, the Apex Court permitted impleadment of the party at the pre-arbitration stage. However, it was reiterated that ordinarily an arbitration agreement takes place between the persons, who are the parties to the arbitration agreement and the substantive contract underlining the agreement. However, only in certain circumstances, a non-signatory should be subjected to arbitration, without prior consent, but it would be an exceptional case. However, by the subsequent decision in the case of Cox and Kings Ltd. (supra), it was clarified that principle of piercing the corporate veil cannot be the sole basis for impleading a non-signatory under the Group of Companies Doctrine and it would require more, such as the common intention of the parties to participate in the transaction.

In any case, if the high burden to subject a non-signatory to arbitration has been met, the consequence would be that the non-signatory participates in the arbitration and has the opportunity to present its case.
",,,"Another submission of Respondent No.1, which deserve appreciation is, the Petitioner was always aware of the scheme of demerger and this is sought to be established on the basis of its own annual reports filed before the Securities Exchange Commission, USA for the year 2006-2007 and 2007-2008, which refer to the pendency of arbitration proceedings, the declaratory Award and that the partial quantification and costs were never treated as Assets or Receivables in the Petitioners Book, but they were only reflected as 'contingencies', making it clear that the Petitioner never 135/168 CARBP-414-18.odt treated the Respondent as a Debtor and the amounts which were to be received were contingent on the conclusion of the disputes interse. The Petitioner itself has produced the scheme of arrangement with the Petition, but it is a draft scheme of de-merger and not the scheme which was finally approved.","Statutes of limitation are sometimes described as ""statutes of peace"", as laws of limitation, founded on public 76/168 CARBP-414-18.odt policy, contemplate that an unlimited and perpetual threat of limitation creates insecurity and uncertainty; and some kind of limitation is essential for public order. The object of fixing time limit for litigation is based on public policy, fixing a lifespan for legal remedy, to be availed for the purpose of general welfare, intended to see that the parties do not resort to dilatory tactics, but avail the legal remedies available, within the prescribed time frame.",,The first scheme of arrangement (the Diversion Scheme) between Respondent No.1 and Respondent No.2 is dated 20/6/2007 when some assets are alleged to have transferred hands in consideration of the shares being transferred to Respondent No.4 and Respondent No.2.
,,,30. It is the specific stand of Respondent No.4 that is not a party to the arbitral proceedings and its impleadment in the Petition is only founded on the claim of IMAX in paragraph 41 of the Petition.,"IMAX supported its claim with the following pleading :-

""36Accordingly, had E-City fully performed its rental obligations under the Master Agreement, IMAX would have realised at least $21,222,920 in revenue over the 20 year term of the leases called for under the Master Agreement, obligations which would, by now, have 45/168 CARBP-414-18.odt been largely performed. E-city should be directed to make payment of this amount to IMAX in order to make IMAX fully whole for its breach of its obligations. In contract, IMAX fully performed and complied with its exclusivity obligations.""",,,"Respondent No.4 face the accusation that as the holding Company of Respondent Nos.1, 2 and 3, it has arranged for the improper diversion of Respondent No.1 to Respondent Nos.2 and 3.","74. The issue of limitation goes to the root of a matter and if it is the duty of a court of law to ensure that the proceedings are filed within the prescribed period of limitation, and a Court or an adjudicating authority may not exercise its jurisdiction, if the proceedings are not filed within limitation and shall refrain itself from deciding it on merit, unless the delay is condoned and the proceedings are brought within the period of limitation, it also becomes an issue of jurisdiction.



32 (2008) 14 SCC 445





                                      78/168                     CARBP-414-18.odt",,"It is the accusation against Respondent No.1 that under the scheme, assets of Respondent No.1 of Rs.92 crores (i.e. assets with book value of Rs.75 crores and current assets of Rs.17.07 crores) were transferred to Respondent No.2 in consideration of its allotting shares to the shareholders of E- City Entertainment."
,,,"31. My attention is also invited to some more pleadings, which I will be reproducing when the rival contentions are dealt with. However, at present, I must record the submission of Mr.Jagtiani, who has invited my attention to Chamber Summons No.100 of 2019, seeking deletion of Respondent No.4, which received a reply from the Petitioner, reiterating that all the Respondents are part of Essel Group of Companies and they have conspired to fraudulently transfer the assets of Respondent No.1 to Respondent Nos. 2 to 4 during the pendency of the arbitration proceedings and all the Respondents should be treated as single entities.","37. E-City, which was the only Respondent before the Arbitral Tribunal, in its Statement of Defence, defended its stand by pleading as below :-

""(a) not a legally binding contract as it was not formed with any intention to create binding legal relations and was therefore not enforceable in law or equity by the Claimant against the respondent;
(b) was an illusory contract that did not give rise to any enforceable legal obligations; and/or
(c) was void for uncertainty.""",,,"132. The declaration sought in the Arbitration Petition in favour of the petitioner to the effect that the three awards passed by the Arbitral Tribunal are enforceable under Part II of the Act of 1996, and the further direction to enforce and execute them as decree in favour of the petitioner and against all the respondents. Similarly, the relief of deposit of the decretal amounts is also sought against the Respondent Nos.1 to 4, but since Mr.Chinoy has offered a clarity that the petitioner seek recognition only against E-City Entertainment, but since it, with an intention to defeat the awards, it has divested its assets to Respondent Nos.2 and 3, they are impleaded in the proceedings.","78. Though Mr.Chinoy has attempted to submit that the issue of limitation is foreclosed and the order dated 13/11/2019 operates as res judicata and in any event, it is 82/168 CARBP-414-18.odt wiped from existence, when the order of 13/11/2019 is carefully perused, it is evident that the focus of the decision is upon Article 136 of the Schedule to the Limitation Act, 1963, by holding that the Petition is not barred by law of limitation, as the award by a foreign court amounts to a decree and is, therefore, covered under Article 136.",,"The second scheme of arrangement (Diversion) between Respondent Nos.1 and 3 is dated 31/8/2007 and it is alleged that immovable properties and assets of Respondent No.1 valued at Rs.119.80 crores were transferred to Respondent No.3 in consideration of it allotting shares to the shareholder of Respondent No.1, i.e. E-City Investment and Holding Co. Ltd., the Respondent No.4 and E-City Real Estate Pvt.Ltd i.e. 141/168 CARBP-414-18.odt Respondent No.2. Even this scheme received sanction on 31/8/2000."
,,,"POINTS FALLING FOR CONSIDERATION IN THE WAKE OF THE RIVAL CONTENTIONS ADVANCED :-
","41. This was followed by the final award dated 27/3/2008, with the following directions:-

""(i) that the respondent do pay to the Claimant the sum of US$ 1,118,558.54 by way of interest upto and including 30th September, 2007;
(ii) that the respondent do pay to the Claimant interest at a rate of US$ 2,512.60 per day from 1st October, 2007 until payment of the Award of US$ 9,406,148.31
(iii) that the respondent do pay to the Claimant costs by way of attorneys' fees, expert fees and related expenses in the sum of US$ 384,789.21.
(iv) that the respondent do pay to the claimant the said sum of US$ 400,000 fixed by the ICC as the costs of the arbitration.""",,,"The Additional Respondents not being parties to the foreign arbitration proceedings and/or the Foreign Award, the Chamber Summons appears to evade this provision. The Additional Respondents have not been given an opportunity to show cause as to why the Foreign Award should not be enforced against them, as they were not parties as envisaged under Section 48 of the said Act. The Foreign Award was enforceable only against the Judgment Debtor who was the party to the arbitration agreement and against whom the Foreign Award was passed. The Foreign Award cannot be enforced against the Additional Respondents who are neither parties to the arbitration agreement nor to the Award.","Paragraph 20 of the decision clearly record that, ""it is well settled that a foreign award is stamped as a decree and hence, as a decree it can be enforced and be executable in one and the same proceeding. In that event Article 136 of the Limitation Act would surely become applicable prescribing a limitation of twelve years from the date when award becomes enforceable and/or the award directing payment of money as specifically provided, under Article 136.""",,"Mr.Chinoy insisted in recording his submission that under the two schemes of demerger, the Respondent No.1 divested and stripped itself virtually all of its assets and improperly divested its properties having a book value of Rs.170 crores and other current assets valued at Rs.38.5 crores to Respondent Nos.2 and 3, and after this transfer, it is left only with assets worth US$ 769,287."
,,,"This award was made in London, the juridical seat of arbitration on 24/8/2003.","42. IMAX Corporation filed application under Rule 14.05 of the Rules of Civil Procedure and Article 35 of the Schedule to the International Commercial Arbitration Act before the Ontario Superior Court of Justice and by order dated 29/11/2011, the Court in Ontario recognized the final award of 27/3/2008 and the partial final award of ICC on jurisdiction 49/168 CARBP-414-18.odt and quantum of 24/8/2007 in the matter of IMAX Limited Vs. E-City Entertainment (L) Pvt. Ltd and declared it to be an enforceable judgment of the Court with full force in effect.

Pursuant thereto, IMAX Corporation sought to domesticate the judgment which it obtained against E-City Entertainment Pvt Ltd from the Superior Court of Justice, Ontario Canada, Essel Group, Subhash Chandra, Atul Goel, Amit Goenka, Laxmi Goel, Zee TV USA, Asia TV USA Ltd and Natural Wellness USA, INC. (collectively, the respondents).

In addition, IMAX sought a turnover order directing the respondents to deliver sufficient funds to justify the judgment or to deliver their personal property to the Sheriff of the country of New York to satisfy the judgment pursuant to the CPLR 5225(b). The Supreme Court of State of New York, County of New York by its decision dated 9/10/2015, however, denied the prayer of IMAX, to the effect that the judgment be recognized against the respondents by treating them as alter- ego or as a single personality as E-City. Recording that IMAX have failed to show that the respondents have one and the same entity as E-City, its request for an order to domesticate the Canadian judgment was denied.

Reference to the relevant observations would be considered at the relevant time when this issue about alter ego is considered by me.",,,"147. Mr.Jagtiani has submitted that the reference to the discussion of the law and the manner of its application to the 154/168 CARBP-414-18.odt facts, in Crown Prosecution Services Vs. G.46 is apposite, where the UK High Court of Justice was dealing with an application which required it to determine whether the assets of two companies- Prolink and Powervale- could be treated as the assets of one of its shareholders and directors, Mr.G., by piercing the corporate veil.","Since the period consumed from the day of passing of the last award on 27/03/2008, despite filing of petition under Section 34 of the Act of 1996 in India and since it did not amount to an automatic stay on the enforcement/ execution of 89/168 CARBP-414-18.odt the award, it was open to the petitioner to file the enforcement petition within time period of 3 years from the expiry of 28 days from each of the award, as under the English Arbitration Act, 1996, time period to challenge the award is 28 days, and the time to enforce the award began to run on expiry of 28 days from passing of the awards.",,"Whilst what occurred no doubt enabled G to invest what appear to be part of his ill-gotten gains. I am not persuaded that on the evidence an arguable case is demonstrated to show that G was attempting to hide behind the corporate veil so as to conceal his crime and his benefits from it..."""
,,,"43. E-City, the Respondent No.1 has contested the petition on four counts:-

""(a) The present Petition has been filed beyond the limitation period.
                                 50/168                    CARBP-414-18.odt

  (b)    In the scheme of Part II of the Arbitration and Conciliation
Act, Sections 47 to 49 do not contemplate exectuion proceedings under Order XXI of the Code of Civil Procedure, 1908 and the Petitioner has already filed a separate application for execution only against Respondent No.1, which is pending.","43. E-City, the Respondent No.1 has contested the petition on four counts:-

""(a) The present Petition has been filed beyond the limitation period.
                                 50/168                    CARBP-414-18.odt

  (b)    In the scheme of Part II of the Arbitration and Conciliation
Act, Sections 47 to 49 do not contemplate exectuion proceedings under Order XXI of the Code of Civil Procedure, 1908 and the Petitioner has already filed a separate application for execution only against Respondent No.1, which is pending.
The present Petition, which seek relief in the nature of execution, is untenable.

c) The present Petition is in essence a Petition challenging the demerger scheme which is not permissible;

(d) The invocation of Arbitration was invalid under the laws of Singapore i.e. Seat of Arbitration.

(e) Enforcement of the said Foreign Award would be contrary to the public policy of India as per Section 48(2)(b) of the Arbitration and Conciliation Act, 1996.""",,,"149. Though the claim in the Petition is about the purported fraud engaged by Respondent No.4, the pleading to that effect is merely vague, as it is asserted that the respondents have conspired to fraudulently transfer the asset of Respondent No.1 to Respondent Nos.2 to 4 during the pendency of the arbitration, but except the bare statement, there is no material to demonstrate the alleged fraud, as merely alleging fraud is not sufficient as fraud has to be established by cogent evidence.","50. In the field of private international law, courts refuse to apply a rule of foreign law or recognise a foreign judgment or a foreign arbitral award if it is found that the same is contrary to the public policy of the country in which it is sought to be invoked or enforced. The English courts follow the following principles:

""Exceptionally, the English court will not enforce or recognise a right conferred or a duty imposed by a foreign law where, on the facts of the particular case, enforcement or, as the case may be, 91/168 CARBP-414-18.odt recognition, would be contrary to a fundamental policy of English law. The court has, therefore, refused in certain cases to apply foreign law where to do so would in the particular circumstances be contrary to the interests of the United Kingdom or contrary to justice or morality."" (See: Halsbury's Laws of England, 4th Edn., Vol. 8, para 418.)""",,"The common thread, which according to the Petitioner, connect all the Respondents are Mr.Atul Goel, Ms.Laxmi Goel, Ms.Chandra Goel, Mr.Arpit Goel, Ms.Charu Goel and Mr.Ankit Goel, the eventual shareholders of Respondent No.4, who are the eventual holder of Respondent Nos.1 to 3. Therefore, to show that Respondent No.4 and Respondent No.1 are alter 160/168 CARBP-414-18.odt egos of one another, it would have been necessary to implead the shareholders of Respondent No.4 and plead specific facts about actions taken by these shareholders. Not only is the Petition entirely devoid of any such pleadings, but the shareholders of Respondent No.4 have not even been impleaded."
